t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1418989256,566,7,1.678445,0,2.233881,1.000000,1.000000,7.000000,7.000000,7.000000,7.000000
1418989261,1354,7,1.071984,0,1.533359,1.000000,1.000000,6.000000,7.000000,7.000000,7.000000
1418989266,2072,7,0.969844,0,1.214191,1.000000,1.000000,2.000000,7.000000,7.000000,7.000000
1418989271,2663,7,0.962062,0,1.087917,1.000000,1.000000,1.000000,6.000000,7.000000,7.000000
1418989276,3351,7,0.916342,0,0.841248,1.000000,1.000000,1.000000,2.000000,6.710000,7.000000
1418989281,4081,7,0.901751,0,0.692902,1.000000,1.000000,1.000000,1.000000,6.000000,7.000000
1418989286,4759,7,0.902724,0,0.660672,1.000000,1.000000,1.000000,1.000000,4.840000,7.000000
1418989291,5429,7,0.927043,0,0.642179,1.000000,1.000000,1.000000,1.000000,4.840000,7.000000
1418989296,6170,7,0.928016,0,0.584341,1.000000,1.000000,1.000000,1.000000,2.000000,7.000000
1418989301,6788,7,0.932879,0,0.555024,1.000000,1.000000,1.000000,1.000000,1.710000,7.000000
1418989306,7388,7,0.936770,0,0.524836,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000
1418989311,8116,7,0.926070,0,0.463236,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000
1418989316,8722,7,0.934825,0,0.455020,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000
1418989321,9359,7,0.928988,0,0.458413,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000
1418989326,10229,7,0.909533,0,0.395430,1.000000,1.000000,1.000000,1.000000,1.000000,6.971000
1418989331,11297,7,0.901751,0,0.403342,1.000000,1.000000,1.000000,1.000000,1.000000,6.971000
1418989336,12079,7,0.910506,0,0.394419,1.000000,1.000000,1.000000,1.000000,1.000000,6.971000
1418989341,12784,7,0.914397,0,0.350916,1.000000,1.000000,1.000000,1.000000,1.000000,6.855000
1418989346,13509,7,0.921206,0,0.342705,1.000000,1.000000,1.000000,1.000000,1.000000,6.855000
1418989351,14068,2,0.914397,0,0.283371,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989356,14799,2,0.917315,0,0.279051,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989361,15375,2,0.921206,0,0.273136,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989366,15892,2,0.920233,0,0.274632,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989371,16427,2,0.920233,0,0.274632,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989376,16863,2,0.919261,0,0.276116,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989381,17225,2,0.916342,0,0.280501,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989386,18217,2,0.922179,0,0.271629,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989391,18958,2,0.930934,0,0.257500,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989396,19425,2,0.928988,0,0.260731,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989401,20217,2,0.937743,0,0.245734,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989406,21003,2,0.941634,0,0.238663,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989411,21763,2,0.940661,0,0.240456,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989416,22463,2,0.943580,0,0.235024,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989421,23070,2,0.943580,0,0.235024,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989426,23756,2,0.945525,0,0.231311,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989431,24274,2,0.945525,0,0.231311,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989436,24953,2,0.951362,0,0.219693,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989441,25500,2,0.951362,0,0.219693,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989446,26084,2,0.953307,0,0.215646,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989451,26640,2,0.946498,0,0.229426,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989456,27141,2,0.945525,0,0.231311,1.000000,1.000000,1.000000,1.000000,1.000000,1.971000
1418989461,27682,1,0.946498,0,0.225142,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989466,28167,1,0.950389,0,0.217245,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989471,28656,1,0.952335,0,0.213161,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989476,29115,1,0.952335,0,0.213161,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989481,29673,1,0.952335,0,0.213161,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989486,30342,1,0.952335,0,0.213161,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989491,31187,1,0.951362,0,0.215215,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989496,31923,1,0.952335,0,0.213161,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989501,32584,1,0.953307,0,0.211082,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989506,33367,1,0.958171,0,0.200295,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989511,34090,1,0.959144,0,0.198053,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989516,34700,1,0.959144,0,0.198053,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989521,35556,1,0.961089,0,0.193476,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989526,36255,1,0.962062,0,0.191139,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989531,36883,1,0.963035,0,0.188768,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989536,37454,1,0.962062,0,0.191139,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989541,38148,1,0.964008,0,0.186361,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989546,38607,1,0.963035,0,0.188768,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989551,39632,1,0.949416,0,0.219253,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989556,40388,1,0.941634,0,0.234548,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989561,41122,1,0.941634,0,0.234548,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989566,41730,1,0.941634,0,0.234548,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989571,42512,1,0.945525,0,0.227062,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989576,43184,1,0.948444,0,0.221237,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989581,43717,1,0.950389,0,0.217245,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989586,44276,1,0.947471,0,0.223200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989591,44784,1,0.949416,0,0.219253,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989596,45195,1,0.950389,0,0.217245,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989601,46306,1,0.953307,0,0.211082,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989606,47029,1,0.954280,0,0.208979,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989611,47855,1,0.964008,0,0.186361,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989616,48473,1,0.965953,0,0.181437,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989621,48819,1,0.967899,0,0.176355,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989626,49372,1,0.966926,0,0.178917,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989631,49925,1,0.967899,0,0.176355,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418989636,50576,1,0.966926,0,0.178917,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
