t,count
1421312531,630
1421312535,630
1421312540,630
1421312545,630
1421312550,630
1421312555,630
1421312560,630
1421312565,630
1421312570,630
1421312575,630
1421312580,630
1421312585,630
1421312590,630
1421312595,630
1421312600,630
1421312605,630
1421312610,630
1421312615,630
1421312620,630
1421312625,630
1421312630,630
1421312635,630
1421312640,630
1421312645,630
1421312650,630
1421312655,630
1421312660,630
1421312665,630
1421312670,630
1421312675,630
1421312680,630
1421312685,630
1421312690,630
1421312695,630
1421312700,630
1421312705,630
1421312710,630
1421312715,630
1421312720,630
1421312725,630
1421312730,630
1421312735,630
1421312740,630
1421312745,630
1421312750,630
1421312755,630
1421312760,630
1421312765,630
1421312770,630
1421312775,630
1421312780,630
1421312785,630
1421312790,630
1421312795,630
1421312800,630
1421312805,630
1421312810,630
1421312815,630
1421312820,630
1421312825,630
1421312830,630
1421312835,630
1421312840,630
1421312845,630
1421312850,630
1421312855,630
1421312860,630
1421312865,630
1421312870,630
1421312875,630
1421312880,630
1421312885,630
1421312890,630
1421312895,630
1421312900,630
1421312905,630
1421312910,630
1421312915,630
1421312920,630
