t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1421312531,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,47.104642,0.000000,0.000000,0.000000,calls/second,milliseconds
1421312535,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,20.736233,33.600000,33.600000,33.600000,calls/second,milliseconds
1421312540,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,12.913919,30.913492,33.044641,33.413851,calls/second,milliseconds
1421312545,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,9.330502,28.441786,32.498461,33.228733,calls/second,milliseconds
1421312550,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,7.300992,26.167706,31.961309,33.044641,calls/second,milliseconds
1421312555,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,5.996788,24.075452,31.433035,32.861569,calls/second,milliseconds
1421312560,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,5.085423,22.150485,30.913492,32.679510,calls/second,milliseconds
1421312565,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,4.420020,20.379430,30.402537,32.498461,calls/second,milliseconds
1421312570,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,3.905757,18.749981,29.900028,32.318415,calls/second,milliseconds
1421312575,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,3.499272,17.250815,29.405824,32.139366,calls/second,milliseconds
1421312580,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,3.169398,15.871516,28.919788,31.961309,calls/second,milliseconds
1421312585,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,2.884314,14.602500,28.441786,31.784238,calls/second,milliseconds
1421312590,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,2.666351,13.434948,27.971685,31.608149,calls/second,milliseconds
1421312595,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,2.462430,12.360749,27.509353,31.433035,calls/second,milliseconds
1421312600,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,2.295174,11.372438,27.054664,31.258891,calls/second,milliseconds
1421312605,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,2.153408,10.463148,26.607489,31.085712,calls/second,milliseconds
1421312610,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,2.023946,9.626561,26.167706,30.913492,calls/second,milliseconds
1421312615,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,1.907772,8.856864,25.735192,30.742227,calls/second,milliseconds
1421312620,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,1.805139,8.148708,25.309827,30.571910,calls/second,milliseconds
1421312625,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,1.712620,7.497173,24.891492,30.402537,calls/second,milliseconds
1421312630,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,1.630311,6.897732,24.480072,30.234103,calls/second,milliseconds
1421312635,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,1.555454,6.346220,24.075452,30.066601,calls/second,milliseconds
1421312640,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,1.486540,5.838804,23.677520,29.900028,calls/second,milliseconds
1421312645,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,1.423493,5.371959,23.286165,29.734377,calls/second,milliseconds
1421312650,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,1.365746,4.942441,22.901278,29.569644,calls/second,milliseconds
1421312655,168,11.700232,0.801460,0.161681,1.355004,0.574305,0.752828,1.787154,6.009401,10.707812,11.700232,1.312362,4.547266,22.522754,29.405824,calls/second,milliseconds
