t,count
1418989256,3
1418989261,3
1418989266,3
1418989271,3
1418989276,3
1418989281,3
1418989286,3
1418989291,3
1418989296,3
1418989301,3
1418989306,3
1418989311,3
1418989316,3
1418989321,3
1418989326,3
1418989331,3
1418989336,3
1418989341,3
1418989346,3
1418989351,3
1418989356,3
1418989361,3
1418989366,3
1418989371,3
1418989376,3
1418989381,3
1418989386,3
1418989391,3
1418989396,3
1418989401,3
1418989406,3
1418989411,3
1418989416,3
1418989421,3
1418989426,3
1418989431,3
1418989436,3
1418989441,3
1418989446,3
1418989451,3
1418989456,3
1418989461,3
1418989466,3
1418989471,3
1418989476,3
1418989481,3
1418989486,3
1418989491,3
1418989496,3
1418989501,3
1418989506,3
1418989511,3
1418989516,3
1418989521,3
1418989526,3
1418989531,3
1418989536,3
1418989541,3
1418989546,3
1418989551,3
1418989556,3
1418989561,3
1418989566,3
1418989571,3
1418989576,3
1418989581,3
1418989586,3
1418989591,3
1418989596,3
1418989601,3
1418989606,3
1418989611,3
1418989616,3
1418989621,3
1418989626,3
1418989631,3
1418989636,3
1418989641,3
1418989646,3
1418989651,3
1418989656,3
1418989661,3
1418989666,3
1418989671,3
1418989676,3
1418989681,3
1418989686,3
1418989691,3
1418989696,3
1418989701,3
1418989706,3
1418989711,3
1418989716,3
1418989721,3
1418989726,3
1418989731,3
1418989736,3
1418989741,3
1418989746,3
1418989751,3
1418989756,3
1418989761,3
1418989766,3
1418989771,3
1418989776,3
1418989781,3
1418989786,3
1418989791,3
1418989796,3
1418989801,3
1418989806,3
1418989811,3
1418989816,3
1418989821,3
1418989826,3
1418989831,3
1418989836,3
1418989841,3
1418989846,3
1418989851,3
1418989856,3
1418989861,3
1418989866,3
1418989871,3
1418989876,3
1418989881,3
1418989886,3
1418989891,3
1418989896,3
1418989901,3
1418989906,3
1418989911,3
1418989916,3
1418989921,3
1418989926,3
1418989931,3
1418989936,3
1418989941,3
1418989946,3
1418989951,3
1418989956,3
1418989961,3
1418989966,3
1418989971,3
1418989976,3
1418989981,3
1418989986,3
1418989991,3
1418989996,3
1418990001,3
1418990006,3
1418990011,3
1418990016,3
1418990021,3
1418990026,3
1418990031,3
1418990036,3
1418990041,3
1418990046,3
1418990051,3
1418990056,3
1418990061,3
1418990066,3
1418990071,3
1418990076,3
1418990081,3
1418990086,3
1418990091,3
1418990096,3
1418990101,3
1418990106,3
1418990111,3
1418990116,3
1418990121,3
1418990126,3
1418990131,3
1418990136,3
1418990141,3
1418990146,3
1418990151,3
1418990156,3
1418990161,3
1418990166,3
1418990171,3
1418990176,3
1418990181,3
1418990186,3
1418990191,3
1418990196,3
1418990201,3
1418990206,3
1418990211,3
1418990216,3
1418990221,3
1418990226,3
1418990231,3
1418990236,3
1418990241,3
1418990246,3
1418990251,3
1418990256,3
1418990261,3
1418990266,3
1418990271,3
1418990276,3
1418990281,3
1418990286,3
1418990291,3
1418990296,3
1418990301,3
1418990306,3
1418990311,3
1418990316,3
1418990321,3
1418990326,3
1418990331,3
1418990336,3
1418990341,3
1418990346,3
1418990351,3
1418990356,3
1418990361,3
1418990366,3
1418990371,3
1418990376,3
1418990381,3
1418990386,3
1418990391,3
1418990396,3
1418990401,3
1418990406,3
1418990411,3
1418990416,3
1418990421,3
1418990426,3
1418990431,3
1418990436,3
1418990441,3
1418990446,3
1418990451,3
1418990456,3
1418990461,3
1418990466,3
1418990471,3
1418990476,3
1418990481,3
1418990486,3
1418990491,3
1418990496,3
1418990501,3
1418990506,3
1418990511,3
1418990516,3
1418990521,3
1418990526,3
1418990531,3
1418990536,3
1418990541,3
1418990546,3
1418990551,3
1418990556,3
1418990561,3
1418990566,3
1418990571,3
1418990576,3
