t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1421318062,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,1.630806,0.000000,0.000000,0.000000,calls/second,milliseconds
1421318067,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.176971,0.200000,0.200000,0.200000,calls/second,milliseconds
1421318072,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.094818,0.184009,0.196694,0.198892,calls/second,milliseconds
1421318077,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.064672,0.169296,0.193443,0.197790,calls/second,milliseconds
1421318082,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.048947,0.155760,0.190246,0.196694,calls/second,milliseconds
1421318087,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.039335,0.143306,0.187101,0.195605,calls/second,milliseconds
1421318092,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.032864,0.131848,0.184009,0.194521,calls/second,milliseconds
1421318097,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.028178,0.121306,0.180967,0.193443,calls/second,milliseconds
1421318102,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.024739,0.111607,0.177976,0.192372,calls/second,milliseconds
1421318107,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.022014,0.102683,0.175035,0.191306,calls/second,milliseconds
1421318112,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.019826,0.094473,0.172142,0.190246,calls/second,milliseconds
1421318117,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.018042,0.086920,0.169296,0.189192,calls/second,milliseconds
1421318122,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.016550,0.079970,0.166498,0.188144,calls/second,milliseconds
1421318127,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.015277,0.073576,0.163746,0.187101,calls/second,milliseconds
1421318132,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.014198,0.067693,0.161040,0.186065,calls/second,milliseconds
1421318137,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.013258,0.062281,0.158378,0.185034,calls/second,milliseconds
1421318142,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.012434,0.057301,0.155760,0.184009,calls/second,milliseconds
1421318147,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.011702,0.052719,0.153186,0.182989,calls/second,milliseconds
1421318152,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.011059,0.048504,0.150654,0.181976,calls/second,milliseconds
1421318157,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.010479,0.044626,0.148164,0.180967,calls/second,milliseconds
1421318162,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.009956,0.041058,0.145715,0.179965,calls/second,milliseconds
1421318167,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.009485,0.037775,0.143306,0.178968,calls/second,milliseconds
1421318172,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.009056,0.034755,0.140938,0.177976,calls/second,milliseconds
1421318177,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.008663,0.031976,0.138608,0.176990,calls/second,milliseconds
1421318182,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.008300,0.029419,0.136317,0.176010,calls/second,milliseconds
1421318187,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.007973,0.027067,0.134064,0.175035,calls/second,milliseconds
1421318192,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.007665,0.024903,0.131848,0.174065,calls/second,milliseconds
1421318197,1,0.063999,0.063999,0.063999,0.000000,0.063999,0.063999,0.063999,0.063999,0.063999,0.063999,0.007384,0.022912,0.129669,0.173101,calls/second,milliseconds
