t,count
1418989256,2040
1418989261,11976
1418989266,27610
1418989271,45589
1418989276,63653
1418989281,82358
1418989286,100760
1418989291,119914
1418989296,138512
1418989301,157615
1418989306,176588
1418989311,195377
1418989316,214114
1418989321,232676
1418989326,249224
1418989331,266205
1418989336,284415
1418989341,302798
1418989346,321265
1418989351,339707
1418989356,357694
1418989361,376013
1418989366,394441
1418989371,412691
1418989376,430486
1418989381,438050
1418989386,458453
1418989391,480118
1418989396,501140
1418989401,521378
1418989406,541403
1418989411,561692
1418989416,581188
1418989421,601208
1418989426,620370
1418989431,640128
1418989436,659280
1418989441,678528
1418989446,697911
1418989451,716852
1418989456,736009
1418989461,754319
1418989466,772841
1418989471,791328
1418989476,809903
1418989481,826726
1418989486,842640
1418989491,865018
1418989496,886731
1418989501,908388
1418989506,929074
1418989511,950161
1418989516,970808
1418989521,991053
1418989526,1011361
1418989531,1031371
1418989536,1051622
1418989541,1071309
1418989546,1091303
1418989551,1108536
1418989556,1127056
1418989561,1144266
1418989566,1163412
1418989571,1182663
1418989576,1201598
1418989581,1220595
1418989586,1239603
1418989591,1258703
1418989596,1272749
1418989601,1294751
1418989606,1316617
1418989611,1338462
1418989616,1359790
1418989621,1381387
1418989626,1402629
1418989631,1423461
1418989636,1444544
1418989641,1465287
1418989646,1485876
1418989651,1506221
1418989656,1526499
1418989661,1546903
1418989666,1566781
1418989671,1586404
1418989676,1606039
1418989681,1625779
1418989686,1645252
1418989691,1664836
1418989696,1683624
1418989701,1703487
1418989706,1718636
1418989711,1741083
1418989716,1764126
1418989721,1786646
1418989726,1808650
1418989731,1830741
1418989736,1852804
1418989741,1874380
1418989746,1896177
1418989751,1917523
1418989756,1937404
1418989761,1958569
1418989766,1979489
1418989771,2000121
1418989776,2020911
1418989781,2041588
1418989786,2061771
1418989791,2082034
1418989796,2102070
1418989801,2121888
1418989806,2141567
1418989811,2161299
1418989816,2177585
1418989821,2201242
1418989826,2224246
1418989831,2243321
1418989836,2263011
1418989841,2282875
1418989846,2302686
1418989851,2322815
1418989856,2342293
1418989861,2362485
1418989866,2382748
1418989871,2402458
1418989876,2422307
1418989881,2441656
1418989886,2462115
1418989891,2480703
1418989896,2498990
1418989901,2518877
1418989906,2537715
1418989911,2556343
1418989916,2574978
1418989921,2592878
1418989926,2611655
1418989931,2629849
1418989936,2644598
1418989941,2667185
1418989946,2689810
1418989951,2711921
1418989956,2733310
1418989961,2754933
1418989966,2776141
1418989971,2797238
1418989976,2818566
1418989981,2839554
1418989986,2860237
1418989991,2881220
1418989996,2899892
1418990001,2920849
1418990006,2941007
1418990011,2961023
1418990016,2981308
1418990021,3000537
1418990026,3021053
1418990031,3040668
1418990036,3059908
1418990041,3079691
1418990046,3095323
1418990051,3119094
1418990056,3142056
1418990061,3164278
1418990066,3186601
1418990071,3208669
1418990076,3229148
1418990081,3251335
1418990086,3271500
1418990091,3292870
1418990096,3314685
1418990101,3335434
1418990106,3356703
1418990111,3377418
1418990116,3397921
1418990121,3414063
1418990126,3431455
1418990131,3449438
1418990136,3466649
1418990141,3483746
1418990146,3500807
1418990151,3517708
1418990156,3534300
1418990161,3549964
1418990166,3565021
1418990171,3586016
1418990176,3606431
1418990181,3626441
1418990186,3645781
1418990191,3665002
1418990196,3683508
1418990201,3702080
1418990206,3720054
1418990211,3738215
1418990216,3755537
1418990221,3772684
1418990226,3790209
1418990231,3807262
1418990236,3823823
1418990241,3840190
1418990246,3856447
1418990251,3872051
1418990256,3888113
1418990261,3903655
1418990266,3919009
1418990271,3934123
1418990276,3948891
1418990281,3964091
1418990286,3978479
1418990291,3991368
1418990296,4004957
1418990301,4021071
1418990306,4032854
1418990311,4053618
1418990316,4075373
1418990321,4097939
1418990326,4120263
1418990331,4140918
1418990336,4162178
1418990341,4182781
1418990346,4203291
1418990351,4221317
1418990356,4241576
1418990361,4261182
1418990366,4280920
1418990371,4299804
1418990376,4319097
1418990381,4338187
1418990386,4357221
1418990391,4376036
1418990396,4394559
1418990401,4413309
1418990406,4431544
1418990411,4449777
1418990416,4464257
1418990421,4486878
1418990426,4508945
1418990431,4530897
1418990436,4552299
1418990441,4573459
1418990446,4594429
1418990451,4615440
1418990456,4635988
1418990461,4656136
1418990466,4676627
1418990471,4696616
1418990476,4716219
1418990481,4735429
1418990486,4755322
1418990491,4774404
1418990496,4793788
1418990501,4812295
1418990506,4830911
1418990511,4849550
1418990516,4867886
1418990521,4881694
1418990526,4901472
1418990531,4924664
1418990536,4946475
1418990541,4968545
1418990546,4989697
1418990551,5011519
1418990556,5032791
1418990561,5053440
1418990566,5073686
1418990571,5094193
1418990576,5114096
