t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1421318062,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318067,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318072,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318077,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318082,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318087,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318092,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318097,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318102,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318107,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318112,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318117,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318122,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318127,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318132,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318137,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318142,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318147,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318152,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318157,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318162,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318167,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318172,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318177,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318182,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318187,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318192,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318197,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318202,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318207,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318212,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318217,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318222,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318227,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318232,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318237,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318242,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318247,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318252,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318257,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318262,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318267,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318272,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318277,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318282,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318287,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318292,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318297,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318302,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421318307,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
