t,count
1418989256,1868
1418989261,11023
1418989266,25683
1418989271,42547
1418989276,59503
1418989281,77140
1418989286,94404
1418989291,112450
1418989296,129919
1418989301,147862
1418989306,165662
1418989311,183255
1418989316,200950
1418989321,218463
1418989326,233513
1418989331,248654
1418989336,264874
1418989341,281354
1418989346,297861
1418989351,314291
1418989356,330257
1418989361,346588
1418989366,362964
1418989371,379164
1418989376,395102
1418989381,402040
1418989386,421013
1418989391,441567
1418989396,461524
1418989401,480540
1418989406,499341
1418989411,518520
1418989416,536794
1418989421,555687
1418989426,573706
1418989431,592272
1418989436,610352
1418989441,628291
1418989446,646616
1418989451,664407
1418989456,682513
1418989461,699656
1418989466,717099
1418989471,734498
1418989476,752030
1418989481,767845
1418989486,782830
1418989491,803829
1418989496,824237
1418989501,844738
1418989506,864021
1418989511,883856
1418989516,903355
1418989521,922317
1418989526,941398
1418989531,960151
1418989536,979264
1418989541,997829
1418989546,1016659
1418989551,1032056
1418989556,1048375
1418989561,1063401
1418989566,1080327
1418989571,1097296
1418989576,1113849
1418989581,1130468
1418989586,1147142
1418989591,1164061
1418989596,1176394
1418989601,1195913
1418989606,1216393
1418989611,1237221
1418989616,1257384
1418989621,1277867
1418989626,1297903
1418989631,1317606
1418989636,1337599
1418989641,1357237
1418989646,1376706
1418989651,1396123
1418989656,1415306
1418989661,1434582
1418989666,1453416
1418989671,1471939
1418989676,1490508
1418989681,1509221
1418989686,1527554
1418989691,1546177
1418989696,1563863
1418989701,1582674
1418989706,1597064
1418989711,1618306
1418989716,1640147
1418989721,1661436
1418989726,1682142
1418989731,1702971
1418989736,1723898
1418989741,1744329
1418989746,1764996
1418989751,1785204
1418989756,1803980
1418989761,1823911
1418989766,1843730
1418989771,1863271
1418989776,1882882
1418989781,1902444
1418989786,1921513
1418989791,1940660
1418989796,1959688
1418989801,1978378
1418989806,1997025
1418989811,2015760
1418989816,2031066
1418989821,2053436
1418989826,2075225
1418989831,2092540
1418989836,2110340
1418989841,2128135
1418989846,2145781
1418989851,2163927
1418989856,2181452
1418989861,2199674
1418989866,2217847
1418989871,2235421
1418989876,2253217
1418989881,2270631
1418989886,2290037
1418989891,2307606
1418989896,2324804
1418989901,2343724
1418989906,2361614
1418989911,2379304
1418989916,2396924
1418989921,2413918
1418989926,2431757
1418989931,2448921
1418989936,2462936
1418989941,2484320
1418989946,2505790
1418989951,2526797
1418989956,2546957
1418989961,2567524
1418989966,2587665
1418989971,2607583
1418989976,2627802
1418989981,2647633
1418989986,2667181
1418989991,2687132
1418989996,2704760
1418990001,2724662
1418990006,2743696
1418990011,2762648
1418990016,2781908
1418990021,2800061
1418990026,2819607
1418990031,2838206
1418990036,2856381
1418990041,2875252
1418990046,2890015
1418990051,2912668
1418990056,2934462
1418990061,2955426
1418990066,2976521
1418990071,2997419
1418990076,3016778
1418990081,3037887
1418990086,3057024
1418990091,3077204
1418990096,3098002
1418990101,3117633
1418990106,3137869
1418990111,3157559
1418990116,3176928
1418990121,3190099
1418990126,3204555
1418990131,3220032
1418990136,3234810
1418990141,3249291
1418990146,3263549
1418990151,3277847
1418990156,3291764
1418990161,3305111
1418990166,3317881
1418990171,3335632
1418990176,3352969
1418990181,3369855
1418990186,3386201
1418990191,3402416
1418990196,3417963
1418990201,3433668
1418990206,3448823
1418990211,3464175
1418990216,3478737
1418990221,3493125
1418990226,3507932
1418990231,3522353
1418990236,3536372
1418990241,3550137
1418990246,3563886
1418990251,3577012
1418990256,3590649
1418990261,3603780
1418990266,3616658
1418990271,3629472
1418990276,3641881
1418990281,3654724
1418990286,3666916
1418990291,3677792
1418990296,3689089
1418990301,3703348
1418990306,3713815
1418990311,3733098
1418990316,3753197
1418990321,3774449
1418990326,3795538
1418990331,3814630
1418990336,3834359
1418990341,3853112
1418990346,3872023
1418990351,3888406
1418990356,3907060
1418990361,3925069
1418990366,3943199
1418990371,3960324
1418990376,3978074
1418990381,3995716
1418990386,4013194
1418990391,4030307
1418990396,4047323
1418990401,4064607
1418990406,4081309
1418990411,4097957
1418990416,4111042
1418990421,4131665
1418990426,4152036
1418990431,4172200
1418990436,4191658
1418990441,4211073
1418990446,4230472
1418990451,4249759
1418990456,4268583
1418990461,4286974
1418990466,4305864
1418990471,4324247
1418990476,4342162
1418990481,4359683
1418990486,4378105
1418990491,4395540
1418990496,4413381
1418990501,4430292
1418990506,4447316
1418990511,4464461
1418990516,4481253
1418990521,4493842
1418990526,4511856
1418990531,4533360
1418990536,4553180
1418990541,4573516
1418990546,4592734
1418990551,4612858
1418990556,4632443
1418990561,4651348
1418990566,4669841
1418990571,4688821
1418990576,4706894
