t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1421318062,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,80.192367,0.000000,0.000000,0.000000,calls/second,milliseconds
1421318067,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,31.620176,53.000000,53.000000,53.000000,calls/second,milliseconds
1421318072,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,20.019311,48.762354,52.123987,52.706372,calls/second,milliseconds
1421318077,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,14.598520,44.863531,51.262453,52.414371,calls/second,milliseconds
1421318082,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,11.463734,41.276442,50.415159,52.123987,calls/second,milliseconds
1421318087,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,9.427720,37.976159,49.581870,51.835212,calls/second,milliseconds
1421318092,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,8.002431,34.939753,48.762354,51.548037,calls/second,milliseconds
1421318097,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,6.941911,32.146125,47.956383,51.262453,calls/second,milliseconds
1421318102,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,6.147268,29.575863,47.163734,50.978452,calls/second,milliseconds
1421318107,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,5.508064,27.211107,46.384186,50.696023,calls/second,milliseconds
1421318112,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,4.988097,25.035427,45.617523,50.415159,calls/second,milliseconds
1421318117,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,4.560054,23.033705,44.863531,50.135852,calls/second,milliseconds
1421318122,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,4.199087,21.192032,44.122002,49.858092,calls/second,milliseconds
1421318127,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,3.888778,19.497610,43.392730,49.581870,calls/second,milliseconds
1421318132,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,3.624285,17.938668,42.675511,49.307179,calls/second,milliseconds
1421318137,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,3.392616,16.504371,41.970147,49.034010,calls/second,milliseconds
1421318142,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,3.188528,15.184754,41.276442,48.762354,calls/second,milliseconds
1421318147,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,3.006513,13.970648,40.594202,48.492203,calls/second,milliseconds
1421318152,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,2.845987,12.853617,39.923239,48.223549,calls/second,milliseconds
1421318157,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,2.700907,11.825898,39.263366,47.956383,calls/second,milliseconds
1421318162,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,2.569498,10.880352,38.614399,47.690698,calls/second,milliseconds
1421318167,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,2.451155,10.010407,37.976159,47.426484,calls/second,milliseconds
1421318172,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,2.342723,9.210019,37.348469,47.163734,calls/second,milliseconds
1421318177,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,2.243573,8.473627,36.731153,46.902440,calls/second,milliseconds
1421318182,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,2.151425,7.796113,36.124040,46.642593,calls/second,milliseconds
1421318187,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,2.068522,7.172770,35.526962,46.384186,calls/second,milliseconds
1421318192,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,1.990084,6.599267,34.939753,46.127210,calls/second,milliseconds
1421318197,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,1.918725,6.071619,34.362250,45.871659,calls/second,milliseconds
1421318202,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,1.851696,5.586159,33.794292,45.617523,calls/second,milliseconds
1421318207,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,1.789143,5.139514,33.235722,45.364795,calls/second,milliseconds
1421318212,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,1.730752,4.728581,32.686383,45.113467,calls/second,milliseconds
1421318217,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,1.675975,4.350505,32.146125,44.863531,calls/second,milliseconds
1421318222,265,3.037297,0.482930,0.114524,0.329320,0.410940,0.548802,0.961329,1.525519,2.339228,3.037297,1.624654,4.002658,31.614796,44.614981,calls/second,milliseconds
