t,count
1418983019,4164
1418983024,21619
1418983029,43885
1418983034,66365
1418983039,88661
1418983044,110870
1418983049,131947
1418983054,150943
1418983059,170116
1418983064,189133
1418983069,208136
1418983074,226969
1418983079,244383
1418983084,261177
1418983089,279155
1418983094,297596
1418983099,316321
1418983104,335013
1418983109,353204
1418983114,371583
1418983119,389930
1418983124,408270
1418983129,426746
1418983134,436766
1418983139,452769
1418983144,474225
1418983149,495521
1418983154,516080
1418983159,536768
1418983164,557380
1418983169,577268
1418983174,597561
1418983179,617174
1418983184,637468
1418983189,656836
1418983194,676515
1418983199,696065
1418983204,715323
1418983209,735015
1418983214,753587
