t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1418989256,2050,36.590304,0.678914,0.100335,1.379766,0.175174,0.993672,2.340481,2.953068,3.311752,35.673265,529.874457,0.000000,0.000000,0.000000,calls/second,milliseconds
1418989261,12004,36.590304,0.379582,0.053376,1.274282,0.089967,0.177827,1.707544,2.358487,2.830879,35.638498,1356.621843,710.800000,710.800000,710.800000,calls/second,milliseconds
1418989266,27646,36.590304,0.253250,0.051776,1.217191,0.060871,0.094747,1.202634,1.884331,2.397739,35.635689,1996.554468,835.578687,736.594449,719.445961,calls/second,milliseconds
1418989271,45613,3.672545,0.176988,0.051743,0.359012,0.060895,0.077887,0.896471,1.453242,1.769930,3.646213,2420.076010,1041.194174,780.735676,734.336527,calls/second,milliseconds
1418989276,63680,3.672545,0.166731,0.051743,0.342485,0.060912,0.069419,0.865017,1.435283,1.648650,3.646213,2670.530670,1248.215641,827.836485,750.381159,calls/second,milliseconds
1418989281,82380,2.764553,0.158006,0.052000,0.314968,0.060663,0.068547,0.840665,1.365771,1.618229,2.758893,2855.909921,1433.791304,873.147238,765.997844,calls/second,milliseconds
1418989286,100777,2.764553,0.152185,0.052000,0.305114,0.060504,0.066663,0.826043,1.328000,1.574341,2.758893,2977.573505,1617.322050,920.353638,782.414434,calls/second,milliseconds
1418989291,119940,2.764553,0.145368,0.052016,0.292599,0.059968,0.065483,0.779025,1.328000,1.562021,2.758893,3087.644666,1788.625129,967.285558,798.909603,calls/second,milliseconds
1418989296,138523,2.764553,0.137258,0.052016,0.276341,0.060016,0.064988,0.710719,1.228206,1.541511,2.758893,3159.473480,1942.169826,1012.602112,815.031946,calls/second,milliseconds
1418989301,157627,2.764553,0.134631,0.051791,0.270957,0.059967,0.064604,0.710719,1.109378,1.513344,2.758893,3227.136359,2091.945041,1058.928287,831.654441,calls/second,milliseconds
1418989306,176592,2.764553,0.131451,0.051791,0.268036,0.059808,0.064491,0.614904,1.109378,1.513344,2.758893,3279.663012,2228.273708,1104.184631,848.082906,calls/second,milliseconds
1418989311,195392,2.764553,0.128033,0.051791,0.264047,0.059648,0.064048,0.548439,1.163337,1.446279,2.758893,3320.545873,2348.265158,1147.569013,864.043625,calls/second,milliseconds
1418989316,214130,2.764553,0.121345,0.051791,0.248857,0.059544,0.063552,0.511971,0.883171,1.425428,2.758893,3353.995154,2464.227529,1191.386701,880.301513,calls/second,milliseconds
1418989321,232694,2.764553,0.118617,0.051791,0.240210,0.059503,0.063324,0.479559,0.883171,1.324617,2.758893,3379.995532,2570.326390,1234.357836,896.428333,calls/second,milliseconds
1418989326,249238,2.764553,0.122286,0.051791,0.248989,0.059432,0.063248,0.513937,0.957581,1.368030,2.758893,3375.250885,2661.385696,1275.263379,912.011516,calls/second,milliseconds
1418989331,266215,2.764553,0.119759,0.051791,0.242532,0.059408,0.063151,0.492362,0.957581,1.359987,2.758893,3376.509080,2705.570296,1307.307876,924.764882,calls/second,milliseconds
1418989336,284434,2.764553,0.116961,0.051791,0.237427,0.059431,0.063004,0.479559,0.982009,1.324617,2.758893,3392.452108,2763.828310,1342.462311,938.667534,calls/second,milliseconds
1418989341,302812,2.764553,0.117411,0.051791,0.239571,0.059407,0.062923,0.492362,1.011054,1.297637,2.758893,3408.342628,2834.842598,1380.635611,953.699808,calls/second,milliseconds
1418989346,321284,2.764553,0.116536,0.051791,0.239127,0.059519,0.062952,0.474939,1.011054,1.326009,2.758893,3423.641603,2903.696942,1418.905219,968.892568,calls/second,milliseconds
1418989351,339714,2.764553,0.114529,0.051791,0.233503,0.059488,0.062724,0.479559,0.932609,1.297637,2.758893,3436.906948,2967.109961,1456.555508,984.005590,calls/second,milliseconds
1418989356,357703,2.764553,0.115435,0.051791,0.235996,0.059447,0.062519,0.492362,0.932609,1.326009,2.758893,3444.659171,3023.405892,1493.160361,998.893055,calls/second,milliseconds
1418989361,376017,2.764553,0.114321,0.051791,0.231283,0.059519,0.062579,0.479120,0.895056,1.294194,2.758893,3454.680653,3069.827634,1528.049472,1013.325743,calls/second,milliseconds
1418989366,394453,2.764553,0.108866,0.051791,0.221017,0.059480,0.062472,0.458986,0.824948,1.241800,2.758893,3464.882949,3117.878731,1563.466023,1028.048555,calls/second,milliseconds
1418989371,412709,2.764553,0.103493,0.051791,0.202607,0.059519,0.062444,0.439015,0.770965,0.984976,2.758893,3472.730015,3158.969607,1597.652577,1042.473734,calls/second,milliseconds
1418989376,430493,2.764553,0.097985,0.051791,0.191291,0.059519,0.062272,0.418351,0.665165,0.959317,2.758893,3476.092809,3202.164045,1632.388100,1057.192401,calls/second,milliseconds
1418989381,438061,2.764553,0.096281,0.051791,0.176593,0.059488,0.062264,0.418351,0.624542,0.940074,2.746444,3399.914352,3216.031218,1661.200859,1070.036731,calls/second,milliseconds
1418989386,458462,2.764553,0.096769,0.051791,0.176810,0.059304,0.062176,0.425188,0.577664,0.940074,2.746444,3425.346325,3098.653923,1662.635522,1073.792751,calls/second,milliseconds
1418989391,480129,2.764553,0.096137,0.051791,0.176189,0.059264,0.062112,0.422394,0.573498,0.940074,2.746444,3458.073562,3187.640178,1704.766199,1091.176680,calls/second,milliseconds
1418989396,501145,2.764553,0.095973,0.051791,0.177121,0.059376,0.062176,0.418218,0.573498,0.942022,2.746444,3483.954072,3273.093495,1746.940996,1108.712498,calls/second,milliseconds
1418989401,521397,2.764553,0.093844,0.051791,0.172825,0.059384,0.062124,0.397601,0.548854,0.922730,2.746444,3502.984977,3344.742215,1786.977416,1125.668064,calls/second,milliseconds
1418989406,541410,2.764553,0.093007,0.051791,0.172233,0.059440,0.062176,0.146712,0.548854,0.942022,2.746444,3519.218924,3399.500420,1824.044707,1141.756289,calls/second,milliseconds
1418989411,561709,2.764553,0.090844,0.051791,0.168123,0.059472,0.062235,0.123733,0.542504,0.922730,2.746444,3536.244687,3450.807886,1860.691061,1157.819647,calls/second,milliseconds
1418989416,581206,2.764553,0.092838,0.051791,0.172118,0.059575,0.062503,0.137062,0.565763,0.942022,2.746444,3547.324517,3492.064337,1895.501980,1173.381826,calls/second,milliseconds
1418989421,601217,2.764553,0.093634,0.051791,0.173735,0.059640,0.062555,0.146712,0.615974,0.942022,2.746444,3560.789470,3527.271633,1929.168943,1188.667206,calls/second,milliseconds
1418989426,620377,2.764553,0.091518,0.051791,0.166835,0.059648,0.062587,0.131051,0.556544,0.902452,2.746444,3568.606172,3558.480566,1962.034817,1203.785908,calls/second,milliseconds
1418989431,640147,2.764553,0.089458,0.051791,0.148674,0.059680,0.062759,0.157787,0.542504,0.827034,2.722053,3579.366480,3591.495781,1995.246702,1219.118911,calls/second,milliseconds
1418989436,659299,2.764553,0.090069,0.051791,0.150839,0.059760,0.062887,0.157787,0.542504,0.874476,2.722053,3586.198154,3615.666692,2026.627028,1233.937051,calls/second,milliseconds
1418989441,678540,1.299029,0.090086,0.051791,0.129969,0.059824,0.063015,0.399551,0.550299,0.833177,1.296480,3593.136185,3636.129989,2057.121749,1248.550104,calls/second,milliseconds
1418989446,697953,1.299029,0.088827,0.051791,0.126275,0.059824,0.062887,0.398019,0.540845,0.778266,1.296480,3600.409958,3650.623539,2086.216590,1262.781923,calls/second,milliseconds
1418989451,716871,1.299029,0.085201,0.051791,0.116827,0.059792,0.062759,0.126846,0.499240,0.707370,1.296480,3605.176006,3666.676739,2115.392505,1277.123261,calls/second,milliseconds
1418989456,736024,1.299029,0.083220,0.052223,0.109544,0.059824,0.062779,0.121473,0.481553,0.583826,1.296480,3610.731866,3678.967772,2143.573800,1291.213400,calls/second,milliseconds
1418989461,754327,1.299029,0.082816,0.052223,0.108024,0.059816,0.062831,0.121473,0.481553,0.583826,1.296480,3611.918490,3687.941365,2170.806666,1305.063706,calls/second,milliseconds
1418989466,772857,1.299029,0.081714,0.052223,0.105974,0.059744,0.062656,0.117424,0.478740,0.557180,1.296480,3614.125595,3685.739279,2195.427478,1318.112627,calls/second,milliseconds
1418989471,791346,1.299029,0.081734,0.052223,0.107395,0.059744,0.062784,0.116677,0.486902,0.583826,1.296480,3616.040863,3687.519148,2220.428103,1331.352966,calls/second,milliseconds
1418989476,809918,1.211125,0.082115,0.052223,0.104526,0.059768,0.062919,0.117424,0.499240,0.585548,1.203487,3613.786935,3688.820893,2244.946084,1344.496684,calls/second,milliseconds
1418989481,826737,1.211125,0.082398,0.052223,0.105534,0.059864,0.063087,0.124216,0.499240,0.631040,1.203487,3612.685956,3669.118167,2264.738256,1356.119387,calls/second,milliseconds
1418989486,842651,1.211125,0.083137,0.052223,0.107062,0.059784,0.062919,0.124525,0.501068,0.622433,1.203487,3603.496813,3664.967019,2287.092483,1368.646117,calls/second,milliseconds
1418989491,865028,1.211125,0.085669,0.052223,0.111503,0.059615,0.062939,0.147847,0.507898,0.635722,1.203487,3621.748956,3641.318794,2304.978147,1379.729490,calls/second,milliseconds
1418989496,886742,1.211125,0.085084,0.052303,0.110368,0.059632,0.062784,0.140185,0.502646,0.635722,1.203487,3636.534129,3705.257773,2340.283482,1396.689394,calls/second,milliseconds
1418989501,908400,1.411748,0.086988,0.052303,0.122607,0.059648,0.062919,0.148437,0.502646,0.720558,1.411337,3650.500018,3757.991858,2373.745797,1413.133178,calls/second,milliseconds
1418989506,929087,1.411748,0.088567,0.052303,0.125252,0.059927,0.062955,0.294350,0.523547,0.724229,1.411337,3660.091927,3798.338097,2404.965811,1428.919657,calls/second,milliseconds
1418989511,950172,1.411748,0.086703,0.052303,0.121318,0.059864,0.062984,0.140907,0.507898,0.619285,1.411337,3670.845475,3827.798684,2434.086369,1444.087930,calls/second,milliseconds
1418989516,970821,1.411748,0.086812,0.052303,0.122199,0.060000,0.063088,0.130725,0.507898,0.706438,1.411337,3679.545272,3849.690629,2461.647945,1458.810951,calls/second,milliseconds
1418989521,991067,1.397572,0.085910,0.052303,0.113517,0.060120,0.063104,0.156225,0.496497,0.567302,1.392165,3686.421499,3881.329803,2491.130773,1474.249078,calls/second,milliseconds
1418989526,1011376,1.397572,0.085607,0.052303,0.112295,0.060135,0.063191,0.144010,0.499240,0.608409,1.384527,3693.274177,3890.322424,2515.967711,1488.207773,calls/second,milliseconds
1418989531,1031380,1.397572,0.084818,0.052303,0.109857,0.060095,0.063211,0.132114,0.496497,0.567302,1.384527,3698.787709,3903.393369,2541.385843,1502.421544,calls/second,milliseconds
1418989536,1051639,1.397572,0.084058,0.052303,0.106605,0.060087,0.063191,0.129281,0.495133,0.566064,1.384527,3705.006959,3913.900063,2566.069808,1516.451305,calls/second,milliseconds
1418989541,1071320,1.397572,0.084239,0.052303,0.106954,0.060087,0.063104,0.132114,0.495133,0.566064,1.384527,3709.009215,3923.342813,2590.299503,1530.387827,calls/second,milliseconds
1418989546,1091312,1.397572,0.082960,0.052303,0.104942,0.060119,0.063088,0.125439,0.473286,0.567302,1.384527,3713.933129,3924.946497,2612.664287,1543.756282,calls/second,milliseconds
1418989551,1108545,2.144719,0.092608,0.052303,0.148414,0.060143,0.063240,0.399765,0.531893,0.858538,2.125088,3709.460533,3924.007299,2634.160251,1556.883360,calls/second,milliseconds
1418989556,1127067,2.144719,0.094459,0.052303,0.162715,0.060096,0.063016,0.388665,0.582875,0.901459,2.134866,3709.375429,3886.251688,2647.674648,1567.381486,calls/second,milliseconds
1418989561,1144283,2.144719,0.096001,0.052303,0.168026,0.060024,0.062960,0.399765,0.655002,0.972347,2.134866,3705.061153,3871.871541,2665.173838,1579.231974,calls/second,milliseconds
1418989566,1163430,2.144719,0.095197,0.052223,0.166222,0.059904,0.062835,0.399765,0.607764,0.972347,2.134866,3707.048037,3839.419844,2678.410331,1589.684956,calls/second,milliseconds
1418989571,1182674,2.144719,0.094687,0.052223,0.163455,0.059912,0.062795,0.405976,0.592244,0.935498,2.134866,3709.264996,3837.675226,2697.239480,1602.027943,calls/second,milliseconds
1418989576,1201608,2.144719,0.098039,0.052223,0.171879,0.059848,0.062732,0.421653,0.737270,0.982993,2.134866,3710.462799,3838.788589,2716.319381,1614.490915,calls/second,milliseconds
1418989581,1220607,2.144719,0.098499,0.052223,0.172439,0.059856,0.062775,0.425510,0.747662,0.972347,2.134866,3711.733103,3835.559296,2734.204600,1626.590103,calls/second,milliseconds
1418989586,1239609,2.144719,0.095429,0.052223,0.161277,0.059696,0.062348,0.421653,0.655002,0.938547,2.125088,3712.825585,3833.435732,2751.969406,1638.680985,calls/second,milliseconds
1418989591,1258707,2.144719,0.097260,0.052223,0.164697,0.059687,0.062328,0.425790,0.737270,0.938547,2.125088,3714.716790,3827.148366,2768.544738,1650.404606,calls/second,milliseconds
1418989596,1272749,2.144719,0.096267,0.052223,0.160445,0.059648,0.062399,0.425510,0.737270,0.912960,2.124667,3701.544451,3829.950940,2786.621269,1662.658289,calls/second,milliseconds
1418989601,1294762,2.144719,0.094914,0.051151,0.159046,0.059455,0.062283,0.421653,0.692955,0.935498,2.124667,3711.580184,3751.054691,2787.556433,1669.198670,calls/second,milliseconds
1418989606,1316628,2.144719,0.093774,0.051151,0.154942,0.059376,0.062239,0.419534,0.634016,0.890213,2.124667,3720.931245,3803.757040,2814.376372,1684.384234,calls/second,milliseconds
1418989611,1338477,2.144719,0.092874,0.051151,0.153837,0.059320,0.062175,0.399765,0.655002,0.890213,2.124667,3729.972372,3850.342599,2840.359637,1699.353812,calls/second,milliseconds
1418989616,1359797,2.144719,0.091363,0.051151,0.150882,0.059184,0.061963,0.184591,0.634016,0.880822,2.124667,3737.311771,3896.337641,2866.561356,1714.457630,calls/second,milliseconds
1418989621,1381399,2.144719,0.089847,0.051151,0.147196,0.059168,0.061915,0.151641,0.586471,0.864486,2.124667,3745.214730,3925.782274,2889.668902,1728.585806,calls/second,milliseconds
1418989626,1402639,2.144719,0.092466,0.051151,0.151017,0.059279,0.062000,0.411412,0.634016,0.864486,2.124667,3751.938939,3956.070867,2913.055656,1742.857316,calls/second,milliseconds
1418989631,1423475,2.144719,0.093862,0.051151,0.156627,0.059455,0.062016,0.415466,0.637007,0.879300,2.127430,3757.420633,3975.142603,2934.237721,1756.440344,calls/second,milliseconds
1418989636,1444559,2.144719,0.095912,0.051151,0.160831,0.059384,0.061899,0.422470,0.678728,0.883012,2.127430,3763.402538,3994.400497,2955.423388,1770.066678,calls/second,milliseconds
