t,count
1418989256,2041
1418989261,11979
1418989266,27612
1418989271,45590
1418989276,63653
1418989281,82358
1418989286,100761
1418989291,119916
1418989296,138512
1418989301,157617
1418989306,176589
1418989311,195377
1418989316,214114
1418989321,232676
1418989326,249224
1418989331,266206
1418989336,284417
1418989341,302799
1418989346,321266
1418989351,339707
1418989356,357695
1418989361,376013
1418989366,394442
1418989371,412692
1418989376,430486
1418989381,438051
1418989386,458454
1418989391,480119
1418989396,501140
1418989401,521379
1418989406,541404
1418989411,561693
1418989416,581188
1418989421,601209
1418989426,620372
1418989431,640129
1418989436,659281
1418989441,678529
1418989446,697912
1418989451,716854
1418989456,736009
1418989461,754319
1418989466,772842
1418989471,791329
1418989476,809904
1418989481,826726
1418989486,842641
1418989491,865018
1418989496,886731
1418989501,908388
1418989506,929074
1418989511,950161
1418989516,970809
1418989521,991054
1418989526,1011362
1418989531,1031372
1418989536,1051623
1418989541,1071309
1418989546,1091304
1418989551,1108537
1418989556,1127057
1418989561,1144267
1418989566,1163414
1418989571,1182664
1418989576,1201599
1418989581,1220596
1418989586,1239603
1418989591,1258704
1418989596,1272749
1418989601,1294752
1418989606,1316618
1418989611,1338463
1418989616,1359790
1418989621,1381388
1418989626,1402630
1418989631,1423462
1418989636,1444545
1418989641,1465288
1418989646,1485877
1418989651,1506221
1418989656,1526500
1418989661,1546904
1418989666,1566782
1418989671,1586405
1418989676,1606040
1418989681,1625779
1418989686,1645253
1418989691,1664836
1418989696,1683625
1418989701,1703488
1418989706,1718636
1418989711,1741083
1418989716,1764126
1418989721,1786647
1418989726,1808651
1418989731,1830742
1418989736,1852804
1418989741,1874380
1418989746,1896178
1418989751,1917523
1418989756,1937404
1418989761,1958570
1418989766,1979489
1418989771,2000121
1418989776,2020912
1418989781,2041589
1418989786,2061772
1418989791,2082035
1418989796,2102070
1418989801,2121889
1418989806,2141567
1418989811,2161300
1418989816,2177585
1418989821,2201242
1418989826,2224247
1418989831,2243321
1418989836,2263012
1418989841,2282876
1418989846,2302687
1418989851,2322816
1418989856,2342293
1418989861,2362485
1418989866,2382748
1418989871,2402458
1418989876,2422308
1418989881,2441657
1418989886,2462116
1418989891,2480704
1418989896,2498991
1418989901,2518877
1418989906,2537716
1418989911,2556345
1418989916,2574978
1418989921,2592878
1418989926,2611656
1418989931,2629850
1418989936,2644599
1418989941,2667186
1418989946,2689811
1418989951,2711925
1418989956,2733311
1418989961,2754934
1418989966,2776142
1418989971,2797239
1418989976,2818567
1418989981,2839555
1418989986,2860237
1418989991,2881221
1418989996,2899892
1418990001,2920849
1418990006,2941007
1418990011,2961024
1418990016,2981308
1418990021,3000538
1418990026,3021053
1418990031,3040669
1418990036,3059909
1418990041,3079692
1418990046,3095324
1418990051,3119095
1418990056,3142057
1418990061,3164279
1418990066,3186601
1418990071,3208669
1418990076,3229149
1418990081,3251336
1418990086,3271501
1418990091,3292870
1418990096,3314686
1418990101,3335435
1418990106,3356704
1418990111,3377418
1418990116,3397921
1418990121,3414063
1418990126,3431455
1418990131,3449439
1418990136,3466649
1418990141,3483747
1418990146,3500808
1418990151,3517709
1418990156,3534301
1418990161,3549964
1418990166,3565021
1418990171,3586016
1418990176,3606432
1418990181,3626442
1418990186,3645781
1418990191,3665003
1418990196,3683509
1418990201,3702081
1418990206,3720055
1418990211,3738216
1418990216,3755538
1418990221,3772684
1418990226,3790210
1418990231,3807263
1418990236,3823823
1418990241,3840191
1418990246,3856448
1418990251,3872051
1418990256,3888114
1418990261,3903656
1418990266,3919009
1418990271,3934123
1418990276,3948892
1418990281,3964091
1418990286,3978479
1418990291,3991368
1418990296,4004958
1418990301,4021072
1418990306,4032854
1418990311,4053618
1418990316,4075373
1418990321,4097940
1418990326,4120263
1418990331,4140919
1418990336,4162179
1418990341,4182782
1418990346,4203292
1418990351,4221318
1418990356,4241576
1418990361,4261182
1418990366,4280920
1418990371,4299805
1418990376,4319097
1418990381,4338187
1418990386,4357221
1418990391,4376036
1418990396,4394559
1418990401,4413309
1418990406,4431544
1418990411,4449777
1418990416,4464257
1418990421,4486878
1418990426,4508945
1418990431,4530898
1418990436,4552300
1418990441,4573460
1418990446,4594430
1418990451,4615441
1418990456,4635989
1418990461,4656137
1418990466,4676627
1418990471,4696616
1418990476,4716219
1418990481,4735430
1418990486,4755322
1418990491,4774405
1418990496,4793789
1418990501,4812295
1418990506,4830911
1418990511,4849551
1418990516,4867887
1418990521,4881694
1418990526,4901473
1418990531,4924664
1418990536,4946476
1418990541,4968545
1418990546,4989697
1418990551,5011520
1418990556,5032792
1418990561,5053440
1418990566,5073686
1418990571,5094194
1418990576,5114096
