t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1418983019,4195,0.376301,0.012460,0.007792,0.013165,0.010400,0.011296,0.024152,0.037487,0.041871,0.367543,1077.999585,0.000000,0.000000,0.000000,calls/second,milliseconds
1418983024,21634,0.072591,0.006787,0.004304,0.004599,0.004832,0.008128,0.011810,0.015838,0.025839,0.071932,2437.309679,1372.800000,1372.800000,1372.800000,calls/second,milliseconds
1418983029,43914,0.072591,0.005690,0.004288,0.003829,0.004656,0.004880,0.010803,0.012156,0.014930,0.071932,3164.891223,1580.444655,1415.724634,1387.187775,calls/second,milliseconds
1418983034,66412,0.072591,0.005188,0.004272,0.002631,0.004608,0.004784,0.008706,0.011043,0.011970,0.070923,3517.736901,1810.857091,1466.078443,1404.223810,calls/second,milliseconds
1418983039,88685,0.072591,0.005010,0.004272,0.002470,0.004592,0.004736,0.008106,0.010364,0.011204,0.070892,3714.421702,2023.550374,1515.745428,1421.214216,calls/second,milliseconds
1418983044,110887,0.037600,0.004893,0.004272,0.001544,0.004576,0.004720,0.007274,0.010256,0.011090,0.036916,3840.288942,2220.101162,1564.769998,1438.170327,calls/second,milliseconds
1418983049,131961,0.014016,0.004826,0.004272,0.001108,0.004560,0.004704,0.006408,0.010112,0.010967,0.013997,3895.514983,2394.971930,1611.751233,1454.619202,calls/second,milliseconds
1418983054,150965,0.014016,0.004795,0.004272,0.001039,0.004560,0.004704,0.005632,0.008759,0.010935,0.013997,3883.195239,2527.620490,1652.118055,1469.020167,calls/second,milliseconds
1418983059,170142,0.013344,0.004747,0.004272,0.000901,0.004560,0.004688,0.005097,0.008215,0.010251,0.013307,3877.927870,2630.985433,1687.956603,1482.047169,calls/second,milliseconds
1418983064,189158,0.013344,0.004735,0.004272,0.000845,0.004560,0.004688,0.005074,0.007947,0.010192,0.013303,3870.306010,2729.667781,1723.943271,1495.250197,calls/second,milliseconds
1418983069,208144,0.013344,0.004697,0.004272,0.000723,0.004560,0.004672,0.004968,0.007268,0.008597,0.013289,3863.526385,2816.702012,1758.558290,1508.119692,calls/second,milliseconds
1418983074,226986,0.013344,0.004687,0.004272,0.000683,0.004576,0.004688,0.004944,0.006959,0.008281,0.013289,3855.447348,2894.138835,1792.055731,1520.735063,calls/second,milliseconds
1418983079,244394,0.013344,0.004680,0.004272,0.000654,0.004576,0.004688,0.004937,0.006838,0.008219,0.013289,3826.181858,2960.602808,1824.011101,1532.949242,calls/second,milliseconds
1418983084,261183,0.013344,0.004676,0.004272,0.000650,0.004560,0.004672,0.004921,0.006691,0.008219,0.013289,3792.171130,2995.575157,1850.026850,1543.281907,calls/second,milliseconds
1418983089,279170,0.011456,0.004662,0.004272,0.000564,0.004560,0.004683,0.004889,0.006007,0.008128,0.011450,3778.307102,3026.120177,1875.275413,1553.444308,calls/second,milliseconds
1418983094,297605,0.011456,0.004654,0.004272,0.000538,0.004560,0.004688,0.004889,0.005740,0.007561,0.011450,3773.212744,3075.715013,1904.549527,1565.039601,calls/second,milliseconds
1418983099,316340,0.011456,0.004644,0.004272,0.000491,0.004560,0.004688,0.004896,0.005586,0.007444,0.011421,3771.650963,3125.310262,1934.159599,1576.845445,calls/second,milliseconds
