t,count
1418983019,4165
1418983024,21621
1418983029,43889
1418983034,66370
1418983039,88662
1418983044,110870
1418983049,131949
1418983054,150950
1418983059,170124
1418983064,189141
1418983069,208138
1418983074,226972
1418983079,244384
1418983084,261179
1418983089,279155
1418983094,297599
1418983099,316326
1418983104,335015
1418983109,353210
1418983114,371589
1418983119,389937
1418983124,408272
1418983129,426750
1418983134,436766
1418983139,452773
1418983144,474231
1418983149,495525
1418983154,516084
1418983159,536770
1418983164,557385
1418983169,577274
1418983174,597562
1418983179,617176
1418983184,637470
1418983189,656838
1418983194,676517
1418983199,696071
1418983204,715328
1418983209,735018
1418983214,753589
