t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1421318062,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,63.254011,0.000000,0.000000,0.000000,calls/second,milliseconds
1421318067,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,28.544521,53.000000,53.000000,53.000000,calls/second,milliseconds
1421318072,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,18.775051,48.762354,52.123987,52.706372,calls/second,milliseconds
1421318077,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,13.929174,44.863531,51.262453,52.414371,calls/second,milliseconds
1421318082,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,11.049370,41.276442,50.415159,52.123987,calls/second,milliseconds
1421318087,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,9.145441,37.976159,49.581870,51.835212,calls/second,milliseconds
1421318092,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,7.797637,34.939753,48.762354,51.548037,calls/second,milliseconds
1421318097,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,6.787571,32.146125,47.956383,51.262453,calls/second,milliseconds
1421318102,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,6.026120,29.575863,47.163734,50.978452,calls/second,milliseconds
1421318107,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,5.410617,27.211107,46.384186,50.696023,calls/second,milliseconds
1421318112,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,4.907567,25.035427,45.617523,50.415159,calls/second,milliseconds
1421318117,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,4.492718,23.033705,44.863531,50.135852,calls/second,milliseconds
1421318122,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,4.142121,21.192032,44.122002,49.858092,calls/second,milliseconds
1421318127,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,3.839607,19.497610,43.392730,49.581870,calls/second,milliseconds
1421318132,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,3.581810,17.938668,42.675511,49.307179,calls/second,milliseconds
1421318137,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,3.355347,16.504371,41.970147,49.034010,calls/second,milliseconds
1421318142,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,3.155576,15.184754,41.276442,48.762354,calls/second,milliseconds
1421318147,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,2.976820,13.970648,40.594202,48.492203,calls/second,milliseconds
1421318152,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,2.819700,12.853617,39.923239,48.223549,calls/second,milliseconds
1421318157,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,2.677224,11.825898,39.263366,47.956383,calls/second,milliseconds
1421318162,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,2.547942,10.880352,38.614399,47.690698,calls/second,milliseconds
1421318167,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,2.431566,10.010407,37.976159,47.426484,calls/second,milliseconds
1421318172,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,2.324869,9.210019,37.348469,47.163734,calls/second,milliseconds
1421318177,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,2.227153,8.473627,36.731153,46.902440,calls/second,milliseconds
1421318182,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,2.136167,7.796113,36.124040,46.642593,calls/second,milliseconds
1421318187,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,2.054520,7.172770,35.526962,46.384186,calls/second,milliseconds
1421318192,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.977099,6.599267,34.939753,46.127210,calls/second,milliseconds
1421318197,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.906722,6.071619,34.362250,45.871659,calls/second,milliseconds
1421318202,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.840525,5.586159,33.794292,45.617523,calls/second,milliseconds
1421318207,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.778662,5.139514,33.235722,45.364795,calls/second,milliseconds
1421318212,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.720985,4.728581,32.686383,45.113467,calls/second,milliseconds
1421318217,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.666774,4.350505,32.146125,44.863531,calls/second,milliseconds
1421318222,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.616021,4.002658,31.614796,44.614981,calls/second,milliseconds
1421318227,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.568227,3.682623,31.092250,44.367807,calls/second,milliseconds
1421318232,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.523058,3.388177,30.578340,44.122002,calls/second,milliseconds
1421318237,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.480143,3.117273,30.072924,43.877560,calls/second,milliseconds
1421318242,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.439705,2.868030,29.575863,43.634472,calls/second,milliseconds
1421318247,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.402213,2.638715,29.087017,43.392730,calls/second,milliseconds
1421318252,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.365864,2.427735,28.606251,43.152328,calls/second,milliseconds
1421318257,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.331730,2.233624,28.133431,42.913257,calls/second,milliseconds
1421318262,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.299108,2.055033,27.668426,42.675511,calls/second,milliseconds
1421318267,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.268021,1.890722,27.211107,42.439082,calls/second,milliseconds
1421318272,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.238221,1.739548,26.761347,42.203963,calls/second,milliseconds
1421318277,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.210081,1.600461,26.319021,41.970147,calls/second,milliseconds
1421318282,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.183063,1.472495,25.884006,41.737626,calls/second,milliseconds
1421318287,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.157276,1.354761,25.456181,41.506393,calls/second,milliseconds
1421318292,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.132522,1.246441,25.035427,41.276442,calls/second,milliseconds
1421318297,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.108716,1.146781,24.621628,41.047764,calls/second,milliseconds
1421318302,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.085835,1.055089,24.214668,40.820353,calls/second,milliseconds
1421318307,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.064198,0.970729,23.814435,40.594202,calls/second,milliseconds
1421318312,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.043185,0.893114,23.420817,40.369304,calls/second,milliseconds
1421318317,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.022935,0.821704,23.033705,40.145652,calls/second,milliseconds
1421318322,265,0.097201,0.005242,0.000963,0.008393,0.003850,0.005293,0.008180,0.029488,0.063864,0.097201,1.003834,0.756004,22.652991,39.923239,calls/second,milliseconds
