t,count
1418983019,3744
1418983024,19954
1418983029,40900
1418983034,61991
1418983039,83029
1418983044,103876
1418983049,123708
1418983054,141502
1418983059,159512
1418983064,177358
1418983069,195253
1418983074,213033
1418983079,229072
1418983084,244124
1418983089,260112
1418983094,276556
1418983099,293409
1418983104,310080
1418983109,326234
1418983114,342589
1418983119,358909
1418983124,375186
1418983129,391630
1418983134,400773
1418983139,415650
1418983144,435934
1418983149,456092
1418983154,475454
1418983159,494957
1418983164,514388
1418983169,533062
1418983174,552189
1418983179,570617
1418983184,589734
1418983189,607963
1418983194,626357
1418983199,644799
1418983204,662901
1418983209,681520
1418983214,698915
