t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1418983019,3773,3.461157,0.034885,0.004464,0.159937,0.004992,0.005355,0.278651,0.492847,0.688221,3.403466,1374.036270,0.000000,0.000000,0.000000,calls/second,milliseconds
1418983024,19974,1.471812,0.026661,0.002672,0.091345,0.002880,0.004912,0.235237,0.340622,0.440978,1.447308,2584.392604,1926.200000,1926.200000,1926.200000,calls/second,milliseconds
1418983029,40928,0.626859,0.026885,0.002704,0.076649,0.002832,0.004624,0.227180,0.301085,0.370780,0.623536,3215.385576,2090.044986,1960.070297,1937.552879,calls/second,milliseconds
1418983034,62039,0.512268,0.027890,0.002608,0.079645,0.002832,0.003072,0.206643,0.352831,0.393979,0.511390,3498.683569,2259.323354,1997.212084,1950.127069,calls/second,milliseconds
1418983039,83052,0.522028,0.029639,0.002608,0.085197,0.002832,0.002992,0.259473,0.377054,0.451937,0.521899,3654.099831,2415.306838,2033.789557,1962.648217,calls/second,milliseconds
1418983044,103898,0.584843,0.033480,0.002608,0.093951,0.002832,0.003008,0.263324,0.428594,0.520738,0.584689,3747.174987,2555.972153,2069.174041,1974.902766,calls/second,milliseconds
1418983049,123720,0.700619,0.033715,0.002592,0.097955,0.002832,0.002956,0.263324,0.438988,0.550344,0.700592,3780.337922,2684.463005,2103.781940,1987.025157,calls/second,milliseconds
1418983054,141521,0.768089,0.032088,0.002592,0.095750,0.002832,0.002928,0.211892,0.385405,0.554002,0.767292,3750.999111,2764.781349,2129.983290,1996.454357,calls/second,milliseconds
1418983059,159528,0.874297,0.032526,0.002592,0.101441,0.002832,0.002912,0.210955,0.408850,0.561025,0.873334,3733.735895,2832.057469,2154.383006,2005.372592,calls/second,milliseconds
1418983064,177380,0.916553,0.034281,0.002592,0.114186,0.002832,0.002912,0.210955,0.438988,0.760118,0.916525,3716.655599,2890.164594,2177.595977,2013.978816,calls/second,milliseconds
1418983069,195265,0.916553,0.033819,0.002608,0.113987,0.002832,0.002907,0.149753,0.438988,0.760118,0.916525,3703.401879,2945.464708,2200.805428,2022.664784,calls/second,milliseconds
1418983074,213053,1.014664,0.032382,0.002608,0.113395,0.002832,0.002896,0.143100,0.438988,0.760118,1.011819,3690.777534,2998.693963,2224.117200,2031.465510,calls/second,milliseconds
1418983079,229086,1.179926,0.032661,0.002608,0.120121,0.002832,0.002896,0.143144,0.396257,0.831453,1.177844,3652.187593,3039.016047,2245.255274,2039.618035,calls/second,milliseconds
1418983084,244130,1.234758,0.035883,0.002608,0.135280,0.002832,0.002880,0.145655,0.480300,0.888361,1.233821,3604.684151,3034.185447,2257.376396,2044.820138,calls/second,milliseconds
1418983089,260132,1.298982,0.033797,0.002608,0.125180,0.002832,0.002896,0.141094,0.329307,0.847221,1.298444,3576.238832,3035.513873,2270.490534,2050.393419,calls/second,milliseconds
1418983094,276564,1.394149,0.038269,0.002608,0.149278,0.002831,0.002880,0.143144,0.453610,0.986212,1.393962,3558.256995,3056.085336,2287.387824,2057.276541,calls/second,milliseconds
1418983099,293428,1.410180,0.042041,0.002608,0.165575,0.002832,0.002896,0.149753,0.505930,1.218221,1.409715,3547.044807,3078.530041,2304.733081,2064.365295,calls/second,milliseconds
1418983104,310088,1.664818,0.043198,0.002608,0.174848,0.002832,0.002896,0.145655,0.505930,1.293600,1.658716,3534.799997,3098.588496,2321.669336,2071.373780,calls/second,milliseconds
1418983109,326252,1.664818,0.048593,0.002608,0.197461,0.002832,0.002896,0.151751,0.912219,1.377167,1.661873,3518.506243,3115.108239,2337.925668,2078.209364,calls/second,milliseconds
1418983114,342594,1.664818,0.053308,0.002608,0.213119,0.002832,0.002896,0.156167,1.137358,1.405531,1.661873,3505.707523,3124.230513,2352.657137,2084.586027,calls/second,milliseconds
1418983119,358927,1.664818,0.052430,0.002608,0.212866,0.002832,0.002896,0.143144,1.137358,1.405531,1.664411,3494.067458,3136.813082,2368.011212,2091.217667,calls/second,milliseconds
1418983124,375192,1.782754,0.055975,0.002608,0.228590,0.002832,0.002896,0.148190,1.253937,1.534028,1.782514,3482.900823,3144.343852,2382.275162,2097.532234,calls/second,milliseconds
1418983129,391639,3.623572,0.060258,0.002608,0.258856,0.002832,0.002896,0.150609,1.308645,1.548315,3.573232,3474.298068,3158.420525,2397.781001,2104.307107,calls/second,milliseconds
1418983134,400773,3.623572,0.061483,0.002608,0.260612,0.002832,0.002912,0.152017,1.308645,1.548315,3.573979,3404.238319,3150.407334,2408.696767,2109.591819,calls/second,milliseconds
1418983139,415667,3.623572,0.060355,0.002608,0.256500,0.002832,0.002912,0.157012,1.288217,1.544981,3.573979,3386.948709,3007.030392,2391.317054,2105.423454,calls/second,milliseconds
1418983144,435951,3.623572,0.056211,0.002608,0.247266,0.002832,0.002896,0.152017,1.201685,1.534028,3.573979,3413.160068,3081.322692,2416.851724,2115.566234,calls/second,milliseconds
1418983149,456099,3.623572,0.052119,0.002608,0.237910,0.002816,0.002880,0.150609,0.885660,1.534028,3.573979,3436.401131,3162.291899,2444.572546,2126.527058,calls/second,milliseconds
1418983154,475464,3.623572,0.050172,0.002608,0.230290,0.002816,0.002880,0.152017,0.474854,1.496323,3.573979,3452.257582,3231.765955,2470.797191,2137.079236,calls/second,milliseconds
1418983159,494964,3.623572,0.051081,0.002608,0.231175,0.002816,0.002880,0.162119,0.504230,1.496323,3.573979,3467.961180,3281.628980,2493.682663,2146.598994,calls/second,milliseconds
1418983164,514395,3.623572,0.049506,0.002608,0.226358,0.002816,0.002880,0.156585,0.546845,1.441580,3.573979,3482.098845,3327.777027,2516.246068,2156.084848,calls/second,milliseconds
1418983169,533080,3.623572,0.049560,0.002608,0.227110,0.002816,0.002880,0.155966,0.583663,1.441580,3.573979,3490.467163,3367.676701,2537.907619,2165.340864,calls/second,milliseconds
1418983174,552197,3.623572,0.047996,0.002608,0.222364,0.002816,0.002880,0.152017,0.546845,1.405531,3.573979,3501.023300,3399.045140,2558.107029,2174.175518,calls/second,milliseconds
1418983179,570626,3.623572,0.048962,0.002608,0.223706,0.002816,0.002880,0.159444,0.583663,1.405531,3.573979,3506.701853,3426.002554,2577.579193,2182.829371,calls/second,milliseconds
1418983184,589742,3.623572,0.044361,0.002608,0.214493,0.002816,0.002880,0.133297,0.538135,1.360431,3.573979,3516.143312,3458.048548,2598.226997,2191.937218,calls/second,milliseconds
1418983189,607972,3.623572,0.047270,0.002608,0.219954,0.002816,0.002880,0.151425,0.666923,1.360431,3.573979,3519.899447,3474.867322,2615.915401,2200.117046,calls/second,milliseconds
1418983194,626367,3.623572,0.045316,0.002608,0.212257,0.002816,0.002880,0.140674,0.577696,1.208046,3.573979,3524.387263,3492.612079,2633.780852,2208.408897,calls/second,milliseconds
1418983199,644808,3.623572,0.046426,0.002608,0.215803,0.002832,0.002880,0.146081,0.618352,1.306268,3.573979,3528.852433,3506.091625,2650.762597,2216.457581,calls/second,milliseconds
1418983204,662917,3.623572,0.047267,0.002608,0.217015,0.002832,0.002880,0.151909,0.618352,1.261545,3.573979,3531.332143,3523.018892,2668.399174,2224.775246,calls/second,milliseconds
1418983209,681528,3.623572,0.050461,0.002704,0.224759,0.002832,0.002880,0.153731,0.864153,1.337726,3.573979,3536.285416,3529.877571,2683.942632,2232.442953,calls/second,milliseconds
1418983214,698921,3.623572,0.051136,0.002720,0.227732,0.002832,0.002880,0.151161,0.942366,1.350050,3.573979,3534.822714,3537.227282,2699.444051,2240.140203,calls/second,milliseconds
