t,count
1418983019,753
1418983024,4767
1418983029,10311
1418983034,16534
1418983039,22992
1418983044,29517
1418983049,35745
1418983054,41613
1418983059,47629
1418983064,53586
1418983069,59560
1418983074,65347
1418983079,70624
1418983084,75495
1418983089,81419
1418983094,87517
1418983099,94093
1418983104,100736
1418983109,107293
1418983114,113744
1418983119,120566
1418983124,127229
1418983129,134033
1418983134,137485
1418983139,140529
1418983144,144618
1418983149,148149
1418983154,152817
1418983159,157294
1418983164,162098
1418983169,166988
1418983174,171824
1418983179,176837
1418983184,181605
1418983189,187071
1418983194,191980
1418983199,197034
1418983204,202089
1418983209,207062
1418983214,212369
