t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1418989256,338,0.892585,0.050640,0.005344,0.075784,0.010392,0.110135,0.155730,0.199943,0.242624,0.892585,99.727872,0.000000,0.000000,0.000000,calls/second,milliseconds
1418989261,2376,1.157718,0.036775,0.004448,0.079726,0.006784,0.017076,0.131018,0.182459,0.400665,1.150029,283.976012,154.600000,154.600000,154.600000,calls/second,milliseconds
1418989266,6218,1.157718,0.026423,0.003328,0.069957,0.005664,0.008092,0.110150,0.154315,0.214191,1.144431,465.315491,184.375460,160.755231,156.663153,calls/second,milliseconds
1418989271,10872,0.837913,0.021844,0.003136,0.066017,0.004992,0.006156,0.094981,0.141029,0.210349,0.834737,592.012137,237.659824,172.160667,160.508776,calls/second,milliseconds
1418989276,15780,0.837913,0.020374,0.003136,0.064565,0.004864,0.005744,0.087259,0.123967,0.191404,0.834737,675.495948,295.414956,185.182506,164.938079,calls/second,milliseconds
1418989281,21106,0.837913,0.019467,0.003152,0.059113,0.004816,0.005596,0.080653,0.119869,0.174447,0.834737,744.112766,352.725924,198.851903,169.632039,calls/second,milliseconds
1418989286,26618,0.837913,0.019092,0.003152,0.062311,0.004736,0.005484,0.078666,0.117035,0.187112,0.834737,797.903094,410.667664,213.373026,174.661211,calls/second,milliseconds
1418989291,32260,0.837913,0.018656,0.003152,0.060737,0.004728,0.005440,0.076675,0.113178,0.166681,0.834737,840.992392,465.527776,227.974789,179.770000,calls/second,milliseconds
1418989296,37814,0.837913,0.019758,0.003104,0.065066,0.004736,0.005420,0.075268,0.117769,0.334186,0.834737,872.126117,518.720006,242.897178,185.038851,calls/second,milliseconds
1418989301,43638,0.837913,0.019163,0.003104,0.062753,0.004720,0.005344,0.074247,0.117769,0.328089,0.834737,902.376054,569.498199,257.953077,190.405935,calls/second,milliseconds
1418989306,49532,0.837913,0.018660,0.003104,0.065780,0.004656,0.005312,0.072236,0.115826,0.426328,0.834737,928.271109,616.440267,272.806404,195.758797,calls/second,milliseconds
1418989311,55475,0.837913,0.019467,0.003104,0.067732,0.004672,0.005328,0.072748,0.113541,0.426445,0.834737,950.610905,663.179083,288.148095,201.327986,calls/second,milliseconds
1418989316,61372,0.680138,0.017786,0.003040,0.058684,0.004656,0.005312,0.072413,0.106293,0.406033,0.679838,968.668036,702.470930,302.469285,206.609258,calls/second,milliseconds
1418989321,67155,0.680138,0.017272,0.003040,0.056332,0.004656,0.005296,0.072141,0.099636,0.297443,0.679838,982.387733,741.131780,317.072763,212.035232,calls/second,milliseconds
1418989326,71939,0.680138,0.016599,0.003040,0.054454,0.004656,0.005296,0.071372,0.089689,0.146360,0.679838,980.661047,774.638625,331.008431,217.288209,calls/second,milliseconds
1418989331,77165,0.680138,0.015908,0.003040,0.047948,0.004680,0.005312,0.070340,0.085952,0.123454,0.679838,984.785514,784.310162,340.340309,221.046159,calls/second,milliseconds
1418989336,83231,0.788713,0.016083,0.003040,0.050967,0.004712,0.005296,0.069935,0.085952,0.123454,0.785564,998.483854,809.999079,352.988939,225.946722,calls/second,milliseconds
1418989341,89261,0.788713,0.014754,0.003040,0.044765,0.004664,0.005248,0.069130,0.081845,0.118411,0.783674,1010.206241,842.621032,367.286314,231.442848,calls/second,milliseconds
1418989346,95795,0.788713,0.014650,0.003040,0.044895,0.004616,0.005216,0.069827,0.086627,0.118689,0.783674,1026.118754,875.992811,382.041573,237.141211,calls/second,milliseconds
1418989351,102319,0.788713,0.013930,0.003040,0.040765,0.004632,0.005200,0.069935,0.085952,0.117241,0.778216,1040.283535,908.295443,396.883521,242.918807,calls/second,milliseconds
1418989356,108855,0.426732,0.013101,0.003040,0.031198,0.004624,0.005196,0.069730,0.085631,0.109442,0.426692,1053.197580,940.094143,411.909894,248.808438,calls/second,milliseconds
1418989361,115372,0.426732,0.012913,0.003040,0.030975,0.004640,0.005200,0.068035,0.083534,0.105583,0.426692,1064.741254,969.270405,426.671376,254.659900,calls/second,milliseconds
1418989366,122167,0.426732,0.011984,0.003040,0.027612,0.004640,0.005184,0.066817,0.077684,0.097120,0.426692,1077.718979,999.088209,441.803733,260.685038,calls/second,milliseconds
1418989371,128741,0.426732,0.011803,0.003040,0.027457,0.004656,0.005168,0.066592,0.077684,0.097120,0.426692,1087.733431,1026.553895,456.692585,266.679011,calls/second,milliseconds
