t,count
1421318062,10
1421318067,10
1421318072,10
1421318077,10
1421318082,10
1421318087,10
1421318092,10
1421318097,10
1421318102,10
1421318107,10
1421318112,10
1421318117,10
1421318122,10
1421318127,10
1421318132,10
1421318137,10
1421318142,10
1421318147,10
1421318152,10
1421318157,10
1421318162,10
1421318167,10
1421318172,10
1421318177,10
1421318182,10
1421318187,10
1421318192,10
1421318197,10
1421318202,10
1421318207,10
1421318212,10
1421318217,10
1421318222,10
1421318227,10
1421318232,10
1421318237,10
1421318242,10
1421318247,10
1421318252,10
1421318257,10
1421318262,10
1421318267,10
1421318272,10
1421318277,10
1421318282,10
1421318287,10
1421318292,10
1421318297,10
1421318302,10
1421318307,10
1421318312,10
1421318317,10
1421318322,10
1421318327,10
1421318332,10
1421318337,10
1421318342,10
1421318347,10
1421318352,10
1421318357,10
1421318362,10
1421318367,10
1421318372,10
1421318377,10
1421318382,10
1421318387,10
1421318392,10
1421318397,10
1421318402,10
1421318407,10
1421318412,10
1421318417,10
1421318422,10
1421318427,10
1421318432,10
1421318437,10
1421318442,10
1421318447,10
1421318452,10
1421318457,10
1421318462,10
1421318467,10
1421318472,10
1421318477,10
1421318482,10
1421318487,10
1421318492,10
1421318497,10
1421318502,10
1421318507,10
1421318512,10
1421318517,10
1421318522,10
1421318527,10
1421318532,10
1421318537,10
1421318542,10
1421318547,10
1421318552,10
1421318557,10
1421318562,10
1421318567,10
1421318572,10
1421318577,10
1421318582,10
1421318587,10
1421318592,10
1421318597,10
1421318602,10
1421318607,10
1421318612,10
1421318617,10
1421318622,10
1421318627,10
1421318632,10
1421318637,10
1421318642,10
1421318647,10
1421318652,10
1421318657,10
1421318662,10
1421318667,10
1421318672,10
1421318677,10
1421318682,10
1421318687,10
1421318692,10
1421318697,10
1421318702,10
1421318707,10
1421318712,10
1421318717,10
1421318722,10
1421318727,10
1421318732,10
1421318737,10
1421318742,10
1421318747,10
1421318752,10
1421318757,10
1421318762,10
1421318767,10
1421318772,10
1421318777,10
1421318782,10
1421318787,10
1421318792,10
1421318797,10
1421318802,10
1421318807,10
1421318812,10
1421318817,10
1421318822,10
1421318827,10
1421318832,10
1421318837,10
1421318842,10
1421318847,10
1421318852,10
1421318857,10
1421318862,10
1421318867,10
1421318872,10
1421318877,10
1421318882,10
1421318887,10
1421318892,10
1421318897,10
1421318902,10
1421318907,10
1421318912,10
1421318917,10
1421318922,10
1421318927,10
1421318932,10
1421318937,10
1421318942,10
1421318947,10
1421318952,10
1421318957,10
1421318962,10
1421318967,10
1421318972,10
1421318977,10
1421318982,10
1421318987,10
1421318992,10
