t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1418989256,338,3.541539,0.032312,0.006720,0.204882,0.012488,0.020240,0.045590,0.076311,0.388947,3.541539,99.656319,0.000000,0.000000,0.000000,calls/second,milliseconds
1418989261,2376,0.559226,0.013166,0.003664,0.021955,0.006288,0.012716,0.042134,0.061904,0.070092,0.545379,283.913669,154.600000,154.600000,154.600000,calls/second,milliseconds
1418989266,6218,0.115967,0.014320,0.003248,0.019604,0.005328,0.009412,0.062063,0.075798,0.082602,0.115891,465.263597,184.375460,160.755231,156.663153,calls/second,milliseconds
1418989271,10874,0.262205,0.017956,0.002832,0.029346,0.004832,0.008064,0.088761,0.104655,0.109394,0.259215,592.046791,237.659824,172.160667,160.508776,calls/second,milliseconds
1418989276,15780,0.262205,0.022360,0.002816,0.039099,0.004648,0.007920,0.119196,0.137750,0.156640,0.260310,675.455593,295.414956,185.182506,164.938079,calls/second,milliseconds
1418989281,21106,0.262205,0.026362,0.002736,0.047939,0.004592,0.007960,0.150462,0.174626,0.191244,0.260597,744.077484,352.725924,198.851903,169.632039,calls/second,milliseconds
1418989286,26621,0.290765,0.031009,0.002736,0.057659,0.004568,0.008036,0.176860,0.214185,0.226418,0.289697,797.955844,410.603699,213.359803,174.656779,calls/second,milliseconds
1418989291,32260,0.302862,0.032047,0.002736,0.062678,0.004528,0.007952,0.196961,0.226460,0.250412,0.302380,840.966570,465.532890,227.975008,179.770025,calls/second,milliseconds
1418989296,37814,0.366941,0.034932,0.002736,0.071548,0.004432,0.007516,0.217684,0.268954,0.296088,0.366669,872.100366,518.724712,242.897393,185.038876,calls/second,milliseconds
1418989301,43638,0.369933,0.036726,0.002736,0.078396,0.004432,0.007504,0.244380,0.300978,0.328220,0.369818,902.349179,569.486537,257.949983,190.404852,calls/second,milliseconds
1418989306,49532,0.505116,0.040301,0.002736,0.088232,0.004512,0.008228,0.274872,0.339330,0.380469,0.502213,928.250067,616.445529,272.806667,195.758828,calls/second,milliseconds
1418989311,55475,0.505116,0.044796,0.002736,0.098495,0.004552,0.008508,0.313391,0.384581,0.404972,0.503841,950.592605,663.183924,288.148353,201.328016,calls/second,milliseconds
1418989316,61372,0.527452,0.049331,0.002736,0.109341,0.004568,0.008576,0.354696,0.428674,0.468240,0.526804,968.650716,702.475384,302.469539,206.609288,calls/second,milliseconds
1418989321,67157,0.539147,0.054527,0.002736,0.120528,0.004608,0.008984,0.382648,0.470277,0.504499,0.539064,982.400074,741.119886,317.069707,212.034153,calls/second,milliseconds
1418989326,71939,0.606043,0.059409,0.002736,0.131689,0.004608,0.009240,0.426701,0.511213,0.538321,0.605595,980.642637,774.611691,331.002120,217.286028,calls/second,milliseconds
