t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1418989256,338,0.041887,0.005802,0.003888,0.003133,0.005455,0.005776,0.007394,0.009236,0.028218,0.041887,99.609709,0.000000,0.000000,0.000000,calls/second,milliseconds
1418989261,2376,0.044688,0.004211,0.003200,0.002127,0.003824,0.004272,0.005816,0.006916,0.008157,0.044607,283.876859,154.600000,154.600000,154.600000,calls/second,milliseconds
1418989266,6220,0.044912,0.003605,0.002752,0.001604,0.003376,0.003696,0.004674,0.005835,0.006301,0.044344,465.383839,184.375460,160.755231,156.663153,calls/second,milliseconds
1418989271,10874,0.044912,0.003358,0.002736,0.001558,0.003168,0.003392,0.004298,0.005399,0.005956,0.044344,591.997997,237.659824,172.160667,160.508776,calls/second,milliseconds
1418989276,15780,0.044912,0.003245,0.002720,0.001537,0.003072,0.003248,0.003881,0.004660,0.005666,0.044344,675.434422,295.414956,185.182506,164.938079,calls/second,milliseconds
1418989281,21124,0.006880,0.003131,0.002720,0.000400,0.003040,0.003200,0.003753,0.004333,0.005106,0.006861,744.365977,352.725924,198.851903,169.632039,calls/second,milliseconds
1418989286,26622,0.006880,0.003095,0.002704,0.000364,0.003008,0.003168,0.003657,0.004135,0.004685,0.006861,797.965496,410.603699,213.359803,174.656779,calls/second,milliseconds
1418989291,32260,0.006208,0.003073,0.002704,0.000334,0.003008,0.003120,0.003584,0.004059,0.004518,0.006202,840.954642,465.532890,227.975008,179.770025,calls/second,milliseconds
1418989296,37814,0.006208,0.003071,0.002704,0.000336,0.003008,0.003120,0.003584,0.004109,0.004732,0.006202,872.089894,518.724712,242.897393,185.038876,calls/second,milliseconds
1418989301,43640,0.006208,0.003057,0.002704,0.000311,0.003008,0.003104,0.003481,0.003991,0.004343,0.006196,902.374652,569.470546,257.946677,190.403743,calls/second,milliseconds
1418989306,49532,0.005632,0.003039,0.002704,0.000260,0.003008,0.003088,0.003384,0.003783,0.004267,0.005626,928.239035,616.446807,272.806721,195.758834,calls/second,milliseconds
1418989311,55475,0.005408,0.003028,0.002704,0.000234,0.002992,0.003088,0.003336,0.003661,0.004224,0.005395,950.584759,663.185100,288.148407,201.328023,calls/second,milliseconds
1418989316,61374,0.005808,0.003029,0.002704,0.000261,0.002992,0.003088,0.003328,0.003680,0.004267,0.005806,968.675072,702.476466,302.469592,206.609294,calls/second,milliseconds
