t,count
1418989256,249
1418989261,249
1418989266,249
1418989271,249
1418989276,249
1418989281,249
1418989286,249
1418989291,249
1418989296,249
1418989301,249
1418989306,249
1418989311,249
1418989316,249
1418989321,249
1418989326,249
1418989331,249
1418989336,249
1418989341,249
1418989346,249
1418989351,249
1418989356,249
1418989361,249
1418989366,249
1418989371,249
1418989376,249
1418989381,249
1418989386,249
1418989391,249
1418989396,249
1418989401,249
1418989406,249
1418989411,249
1418989416,249
1418989421,249
1418989426,249
1418989431,249
1418989436,249
1418989441,249
1418989446,249
1418989451,249
1418989456,249
1418989461,249
1418989466,249
1418989471,249
1418989476,249
1418989481,249
1418989486,249
1418989491,249
1418989496,249
1418989501,249
1418989506,249
1418989511,249
1418989516,249
1418989521,249
1418989526,249
1418989531,249
1418989536,249
1418989541,249
1418989546,249
1418989551,249
1418989556,249
1418989561,249
1418989566,249
1418989571,249
1418989576,249
1418989581,249
1418989586,249
1418989591,249
1418989596,249
1418989601,249
1418989606,249
1418989611,249
1418989616,249
1418989621,249
1418989626,249
1418989631,249
1418989636,249
1418989641,249
1418989646,249
1418989651,249
1418989656,249
1418989661,249
1418989666,249
1418989671,249
1418989676,249
1418989681,249
1418989686,249
1418989691,249
1418989696,249
1418989701,249
1418989706,249
1418989711,249
1418989716,249
1418989721,249
1418989726,249
1418989731,249
1418989736,249
1418989741,249
1418989746,249
1418989751,249
1418989756,249
1418989761,249
1418989766,249
1418989771,249
1418989776,249
1418989781,249
1418989786,249
1418989791,249
1418989796,249
1418989801,249
1418989806,249
1418989811,249
1418989816,249
1418989821,249
1418989826,249
1418989831,249
1418989836,249
1418989841,249
1418989846,249
1418989851,249
1418989856,249
1418989861,249
1418989866,249
1418989871,249
1418989876,249
1418989881,249
1418989886,249
1418989891,249
1418989896,249
1418989901,249
1418989906,249
1418989911,249
1418989916,249
1418989921,249
1418989926,249
1418989931,249
1418989936,249
1418989941,249
1418989946,249
1418989951,249
1418989956,249
1418989961,249
1418989966,249
1418989971,249
1418989976,249
1418989981,249
1418989986,249
1418989991,249
1418989996,249
1418990001,249
1418990006,249
1418990011,249
1418990016,249
1418990021,249
1418990026,249
1418990031,249
1418990036,249
1418990041,249
1418990046,249
1418990051,249
1418990056,249
1418990061,249
1418990066,249
1418990071,249
1418990076,249
1418990081,249
1418990086,249
1418990091,249
1418990096,249
1418990101,249
1418990106,249
1418990111,249
1418990116,249
1418990121,249
1418990126,249
1418990131,249
1418990136,249
1418990141,249
1418990146,249
1418990151,249
1418990156,249
1418990161,249
1418990166,249
1418990171,249
1418990176,249
1418990181,249
1418990186,249
1418990191,249
1418990196,249
1418990201,249
1418990206,249
1418990211,249
1418990216,249
1418990221,249
1418990226,249
1418990231,249
1418990236,249
1418990241,249
1418990246,249
1418990251,249
1418990256,249
1418990261,249
1418990266,249
1418990271,249
1418990276,249
1418990281,249
1418990286,249
1418990291,249
1418990296,249
1418990301,249
1418990306,249
1418990311,249
1418990316,249
1418990321,249
1418990326,249
1418990331,249
1418990336,249
1418990341,249
1418990346,249
1418990351,249
1418990356,249
1418990361,249
1418990366,249
1418990371,249
1418990376,249
1418990381,249
1418990386,249
1418990391,249
1418990396,249
1418990401,249
1418990406,249
1418990411,249
1418990416,249
1418990421,249
1418990426,249
1418990431,249
1418990436,249
1418990441,249
1418990446,249
1418990451,249
1418990456,249
1418990461,249
1418990466,249
1418990471,249
1418990476,249
1418990481,249
1418990486,249
1418990491,249
1418990496,249
1418990501,249
1418990506,249
1418990511,249
1418990516,249
1418990521,249
1418990526,249
1418990531,249
1418990536,249
1418990541,249
1418990546,249
1418990551,249
1418990556,249
1418990561,249
1418990566,249
1418990571,249
1418990576,249
