t,count
1418983019,9998
1418983024,46227
1418983029,91944
1418983034,138965
1418983039,186054
1418983044,233034
1418983049,277355
1418983054,318187
1418983059,358770
1418983064,399558
1418983069,440369
1418983074,479973
1418983079,516942
1418983084,551390
1418983089,588578
1418983094,626361
1418983099,665326
1418983104,704328
1418983109,742545
1418983114,781052
1418983119,820114
1418983124,858776
1418983129,897469
1418983134,919621
1418983139,952828
1418983144,994890
1418983149,1037050
1418983154,1079502
1418983159,1121624
1418983164,1163576
1418983169,1205497
1418983174,1247082
1418983179,1288019
1418983184,1328657
1418983189,1369381
1418983194,1410020
1418983199,1450445
1418983204,1490538
1418983209,1530467
1418983214,1570260
