t,count
1418989256,242
1418989261,247
1418989266,247
1418989271,251
1418989276,254
1418989281,254
1418989286,258
1418989291,258
1418989296,258
1418989301,258
1418989306,258
1418989311,258
1418989316,258
1418989321,258
1418989326,258
1418989331,258
1418989336,258
1418989341,258
1418989346,258
1418989351,258
1418989356,258
1418989361,258
1418989366,258
1418989371,258
1418989376,258
1418989381,272
1418989386,272
1418989391,272
1418989396,272
1418989401,272
1418989406,272
1418989411,272
1418989416,272
1418989421,272
1418989426,272
1418989431,272
1418989436,272
1418989441,272
1418989446,272
1418989451,272
1418989456,272
1418989461,272
1418989466,272
1418989471,272
1418989476,272
1418989481,272
1418989486,272
1418989491,272
1418989496,272
1418989501,272
1418989506,272
1418989511,272
1418989516,272
1418989521,272
1418989526,272
1418989531,272
1418989536,272
1418989541,272
1418989546,272
1418989551,272
1418989556,272
1418989561,272
1418989566,272
1418989571,272
1418989576,272
1418989581,272
1418989586,272
1418989591,273
1418989596,273
1418989601,273
1418989606,273
1418989611,273
1418989616,273
1418989621,273
1418989626,273
1418989631,274
1418989636,274
1418989641,274
1418989646,274
1418989651,274
1418989656,274
1418989661,274
1418989666,274
1418989671,274
1418989676,274
1418989681,274
1418989686,274
1418989691,274
1418989696,274
1418989701,274
1418989706,274
1418989711,274
1418989716,274
1418989721,274
1418989726,274
1418989731,274
1418989736,274
1418989741,274
1418989746,274
1418989751,274
1418989756,274
1418989761,274
1418989766,274
1418989771,274
1418989776,274
1418989781,274
1418989786,274
1418989791,274
1418989796,274
1418989801,274
1418989806,274
1418989811,274
1418989816,274
1418989821,274
1418989826,274
1418989831,278
1418989836,279
1418989841,279
1418989846,282
1418989851,282
1418989856,282
1418989861,282
1418989866,282
1418989871,282
1418989876,282
1418989881,282
1418989886,282
1418989891,282
1418989896,282
1418989901,282
1418989906,282
1418989911,282
1418989916,282
1418989921,282
1418989926,282
1418989931,282
1418989936,283
1418989941,283
1418989946,283
1418989951,283
1418989956,283
1418989961,283
1418989966,283
1418989971,283
1418989976,283
1418989981,283
1418989986,283
1418989991,283
1418989996,283
1418990001,283
1418990006,283
1418990011,283
1418990016,283
1418990021,283
1418990026,283
1418990031,283
1418990036,283
1418990041,283
1418990046,283
1418990051,283
1418990056,283
1418990061,283
1418990066,283
1418990071,283
1418990076,283
1418990081,283
1418990086,283
1418990091,283
1418990096,283
1418990101,283
1418990106,283
1418990111,283
1418990116,283
1418990121,284
1418990126,284
1418990131,284
1418990136,284
1418990141,284
1418990146,284
1418990151,284
1418990156,284
1418990161,284
1418990166,284
1418990171,284
1418990176,284
1418990181,284
1418990186,284
1418990191,284
1418990196,284
1418990201,284
1418990206,284
1418990211,284
1418990216,284
1418990221,284
1418990226,284
1418990231,284
1418990236,284
1418990241,284
1418990246,284
1418990251,284
1418990256,284
1418990261,284
1418990266,284
1418990271,284
1418990276,284
1418990281,284
1418990286,284
1418990291,284
1418990296,284
1418990301,284
1418990306,284
1418990311,284
1418990316,284
1418990321,284
1418990326,284
1418990331,284
1418990336,284
1418990341,284
1418990346,284
1418990351,284
1418990356,284
1418990361,284
1418990366,284
1418990371,284
1418990376,284
1418990381,284
1418990386,284
1418990391,284
1418990396,284
1418990401,284
1418990406,284
1418990411,284
1418990416,284
1418990421,284
1418990426,284
1418990431,284
1418990436,284
1418990441,284
1418990446,284
1418990451,284
1418990456,284
1418990461,284
1418990466,284
1418990471,284
1418990476,284
1418990481,284
1418990486,284
1418990491,284
1418990496,284
1418990501,284
1418990506,284
1418990511,284
1418990516,284
1418990521,284
1418990526,284
1418990531,284
1418990536,284
1418990541,284
1418990546,284
1418990551,284
1418990556,284
1418990561,284
1418990566,284
1418990571,284
1418990576,284
