t,count
1418989256,303
1418989261,312
1418989266,312
1418989271,319
1418989276,325
1418989281,325
1418989286,332
1418989291,332
1418989296,332
1418989301,332
1418989306,332
1418989311,332
1418989316,332
1418989321,332
1418989326,332
1418989331,332
1418989336,332
1418989341,332
1418989346,332
1418989351,332
1418989356,332
1418989361,332
1418989366,332
1418989371,332
1418989376,332
1418989381,476
1418989386,495
1418989391,495
1418989396,495
1418989401,495
1418989406,495
1418989411,495
1418989416,495
1418989421,495
1418989426,502
1418989431,502
1418989436,502
1418989441,502
1418989446,502
1418989451,502
1418989456,502
1418989461,508
1418989466,508
1418989471,508
1418989476,508
1418989481,508
1418989486,669
1418989491,676
1418989496,676
1418989501,676
1418989506,676
1418989511,676
1418989516,676
1418989521,676
1418989526,676
1418989531,676
1418989536,676
1418989541,676
1418989546,676
1418989551,690
1418989556,690
1418989561,696
1418989566,696
1418989571,696
1418989576,696
1418989581,696
1418989586,696
1418989591,698
1418989596,712
1418989601,882
1418989606,882
1418989611,882
1418989616,882
1418989621,882
1418989626,882
1418989631,884
1418989636,884
1418989641,884
1418989646,884
1418989651,884
1418989656,884
1418989661,884
1418989666,884
1418989671,884
1418989676,884
1418989681,884
1418989686,884
1418989691,884
1418989696,884
1418989701,890
1418989706,904
1418989711,1074
1418989716,1074
1418989721,1074
1418989726,1074
1418989731,1074
1418989736,1074
1418989741,1074
1418989746,1074
1418989751,1074
1418989756,1074
1418989761,1074
1418989766,1074
1418989771,1074
1418989776,1074
1418989781,1074
1418989786,1074
1418989791,1074
1418989796,1074
1418989801,1074
1418989806,1074
1418989811,1074
1418989816,1258
1418989821,1258
1418989826,1258
1418989831,1265
1418989836,1267
1418989841,1267
1418989846,1273
1418989851,1279
1418989856,1279
1418989861,1279
1418989866,1283
1418989871,1283
1418989876,1283
1418989881,1283
1418989886,1283
1418989891,1283
1418989896,1283
1418989901,1283
1418989906,1283
1418989911,1283
1418989916,1283
1418989921,1283
1418989926,1283
1418989931,1283
1418989936,1447
1418989941,1463
1418989946,1470
1418989951,1470
1418989956,1470
1418989961,1476
1418989966,1476
1418989971,1476
1418989976,1482
1418989981,1482
1418989986,1482
1418989991,1482
1418989996,1482
1418990001,1484
1418990006,1484
1418990011,1484
1418990016,1484
1418990021,1484
1418990026,1484
1418990031,1484
1418990036,1484
1418990041,1484
1418990046,1657
1418990051,1663
1418990056,1663
1418990061,1663
1418990066,1663
1418990071,1663
1418990076,1663
1418990081,1670
1418990086,1670
1418990091,1670
1418990096,1670
1418990101,1670
1418990106,1670
1418990111,1670
1418990116,1670
1418990121,1672
1418990126,1685
1418990131,1685
1418990136,1685
1418990141,1685
1418990146,1685
1418990151,1685
1418990156,1685
1418990161,1700
1418990166,1863
1418990171,1876
1418990176,1876
1418990181,1876
1418990186,1884
1418990191,1884
1418990196,1884
1418990201,1884
1418990206,1884
1418990211,1884
1418990216,1884
1418990221,1884
1418990226,1884
1418990231,1884
1418990236,1884
1418990241,1884
1418990246,1884
1418990251,1886
1418990256,1886
1418990261,1886
1418990266,1886
1418990271,1886
1418990276,1886
1418990281,1886
1418990286,1886
1418990291,1886
1418990296,1886
1418990301,1886
1418990306,1900
1418990311,2061
1418990316,2063
1418990321,2063
1418990326,2063
1418990331,2063
1418990336,2063
1418990341,2070
1418990346,2070
1418990351,2070
1418990356,2072
1418990361,2072
1418990366,2072
1418990371,2072
1418990376,2072
1418990381,2072
1418990386,2072
1418990391,2072
1418990396,2078
1418990401,2078
1418990406,2078
1418990411,2078
1418990416,2253
1418990421,2262
1418990426,2268
1418990431,2270
1418990436,2270
1418990441,2270
1418990446,2270
1418990451,2270
1418990456,2270
1418990461,2270
1418990466,2270
1418990471,2270
1418990476,2270
1418990481,2270
1418990486,2270
1418990491,2270
1418990496,2270
1418990501,2270
1418990506,2270
1418990511,2270
1418990516,2270
1418990521,2284
1418990526,2453
1418990531,2453
1418990536,2455
1418990541,2461
1418990546,2468
1418990551,2468
1418990556,2468
1418990561,2468
1418990566,2468
1418990571,2468
1418990576,2468
