t,count
1418983019,3
1418983024,3
1418983029,3
1418983034,3
1418983039,3
1418983044,3
1418983049,3
1418983054,3
1418983059,3
1418983064,3
1418983069,3
1418983074,3
1418983079,3
1418983084,3
1418983089,3
1418983094,3
1418983099,3
1418983104,3
1418983109,3
1418983114,3
1418983119,3
1418983124,3
1418983129,3
1418983134,3
1418983139,3
1418983144,3
1418983149,3
1418983154,3
1418983159,3
1418983164,3
1418983169,3
1418983174,3
1418983179,3
1418983184,3
1418983189,3
1418983194,3
1418983199,3
1418983204,3
1418983209,3
1418983214,3
