t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1418983019,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,1.269313,0.000000,0.000000,0.000000,calls/second,milliseconds
1418983024,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.408484,0.600000,0.600000,0.600000,calls/second,milliseconds
1418983029,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.243065,0.552027,0.590083,0.596676,calls/second,milliseconds
1418983034,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.172954,0.507889,0.580330,0.593370,calls/second,milliseconds
1418983039,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.134278,0.467280,0.570738,0.590083,calls/second,milliseconds
1418983044,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.109731,0.429919,0.561304,0.586814,calls/second,milliseconds
1418983049,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.092766,0.395544,0.552027,0.583563,calls/second,milliseconds
1418983054,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.080340,0.363918,0.542902,0.580330,calls/second,milliseconds
1418983059,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.070859,0.334821,0.533929,0.577115,calls/second,milliseconds
1418983064,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.063370,0.308050,0.525104,0.573917,calls/second,milliseconds
1418983069,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.057321,0.283420,0.516425,0.570738,calls/second,milliseconds
1418983074,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.052322,0.260759,0.507889,0.567576,calls/second,milliseconds
1418983079,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.048126,0.239910,0.499494,0.564431,calls/second,milliseconds
1418983084,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.044552,0.220728,0.491238,0.561304,calls/second,milliseconds
1418983089,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.041465,0.203079,0.483119,0.558194,calls/second,milliseconds
1418983094,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.038792,0.186842,0.475134,0.555102,calls/second,milliseconds
1418983099,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.036436,0.171903,0.467280,0.552027,calls/second,milliseconds
1418983104,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.034350,0.158158,0.459557,0.548968,calls/second,milliseconds
1418983109,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.032490,0.145513,0.451961,0.545927,calls/second,milliseconds
1418983114,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.030821,0.133878,0.444491,0.542902,calls/second,milliseconds
1418983119,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.029315,0.123174,0.437144,0.539895,calls/second,milliseconds
1418983124,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.027950,0.113325,0.429919,0.536904,calls/second,milliseconds
1418983129,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.026706,0.104264,0.422813,0.533929,calls/second,milliseconds
1418983134,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.025567,0.095928,0.415824,0.530971,calls/second,milliseconds
1418983139,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.024522,0.088258,0.408951,0.528029,calls/second,milliseconds
1418983144,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.023559,0.081201,0.402192,0.525104,calls/second,milliseconds
1418983149,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.022669,0.074709,0.395544,0.522195,calls/second,milliseconds
1418983154,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.021844,0.068735,0.389007,0.519302,calls/second,milliseconds
1418983159,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.021077,0.063240,0.382577,0.516425,calls/second,milliseconds
1418983164,3,0.392733,0.134841,0.005039,0.223342,0.006752,0.392733,0.392733,0.392733,0.392733,0.392733,0.020361,0.058183,0.376253,0.513564,calls/second,milliseconds
