t,count
1418983019,5000
1418983024,23496
1418983029,46496
1418983034,69874
1418983039,93020
1418983044,115996
1418983049,137854
1418983054,157552
1418983059,177330
1418983064,197066
1418983069,216665
1418983074,236126
1418983079,254327
1418983084,272182
1418983089,291017
1418983094,310163
1418983099,329663
1418983104,348956
1418983109,367878
1418983114,386903
1418983119,405742
1418983124,424685
1418983129,443587
1418983134,454004
1418983139,470763
1418983144,493086
1418983149,514871
1418983154,536275
1418983159,557631
1418983164,579044
1418983169,599698
1418983174,620623
1418983179,640955
1418983184,661725
1418983189,681798
1418983194,702018
1418983199,722145
1418983204,742019
1418983209,762212
1418983214,781338
