t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1418983019,5013,7,1.013619,0,0.916053,1.000000,1.000000,1.000000,6.000000,7.000000,7.000000
1418983024,23496,7,0.946498,0,0.595387,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000
1418983029,46503,7,0.944553,0,0.404261,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000
1418983034,69881,7,0.951362,0,0.396636,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000
1418983039,93029,7,0.952335,0,0.356692,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000
1418983044,116001,7,0.946498,0,0.302629,1.000000,1.000000,1.000000,1.000000,1.000000,6.826000
1418983049,137859,1,0.938716,0,0.239967,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983054,157558,1,0.945525,0,0.227062,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983059,177335,1,0.943580,0,0.230844,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983064,197072,1,0.941634,0,0.234548,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983069,216667,1,0.943580,0,0.230844,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983074,236133,1,0.948444,0,0.221237,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983079,254331,1,0.943580,0,0.230844,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983084,272185,1,0.939689,0,0.238179,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983089,291023,1,0.929961,0,0.255337,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983094,310164,1,0.919261,0,0.272567,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983099,329668,1,0.914397,0,0.279913,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983104,348956,1,0.912451,0,0.282775,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983109,367882,1,0.906615,0,0.291113,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983114,386907,1,0.900778,0,0.299105,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983119,405746,1,0.894942,0,0.306778,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983124,424687,1,0.895914,0,0.305520,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983129,443590,1,0.900778,0,0.299105,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983134,454004,1,0.899805,0,0.300405,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983139,470767,1,0.903696,0,0.295151,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983144,493090,1,0.909533,0,0.286989,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983149,514873,1,0.921206,0,0.269548,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983154,536277,1,0.920233,0,0.271063,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983159,557632,1,0.920233,0,0.271063,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983164,579047,1,0.925097,0,0.263362,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983169,599702,1,0.928988,0,0.256969,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983174,620623,1,0.928016,0,0.258588,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983179,640958,1,0.932879,0,0.250353,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983184,661727,1,0.928016,0,0.258588,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983189,681800,1,0.928988,0,0.256969,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983194,702022,1,0.928016,0,0.258588,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983199,722148,1,0.929961,0,0.255337,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983204,742022,1,0.928016,0,0.258588,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983209,762213,1,0.928016,0,0.258588,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1418983214,781340,1,0.927043,0,0.260193,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
