t,count
1418983019,4925
1418983024,21962
1418983029,43570
1418983034,65494
1418983039,87338
1418983044,108894
1418983049,129440
1418983054,147895
1418983059,166485
1418983064,184990
1418983069,203443
1418983074,221798
1418983079,238500
1418983084,254459
1418983089,271268
1418983094,288396
1418983099,305979
1418983104,323232
1418983109,340060
1418983114,357017
1418983119,373804
1418983124,390650
1418983129,407509
1418983134,416956
1418983139,432568
1418983144,453700
1418983149,474320
1418983154,494493
1418983159,514624
1418983164,534822
1418983169,554210
1418983174,573932
1418983179,593040
1418983184,612626
1418983189,631543
1418983194,650457
1418983199,669450
1418983204,688132
1418983209,707239
1418983214,725165
