t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1418983019,5046,31.729557,0.140285,0.035536,0.989425,0.069047,0.159607,0.267972,0.313892,0.353240,30.832657,1295.475116,0.000000,0.000000,0.000000,calls/second,milliseconds
1418983024,23538,0.485420,0.059763,0.021072,0.061394,0.033208,0.057120,0.192512,0.259761,0.298316,0.483555,2652.020059,1587.400000,1587.400000,1587.400000,calls/second,milliseconds
1418983029,46537,0.354957,0.045854,0.020704,0.044904,0.027376,0.044348,0.152832,0.191864,0.242401,0.354269,3354.780338,1793.797348,1630.066789,1601.701348,calls/second,milliseconds
1418983034,69947,0.331229,0.041432,0.020704,0.039531,0.026656,0.035532,0.133085,0.177198,0.226687,0.331097,3705.749500,2019.432222,1679.416618,1618.399913,calls/second,milliseconds
1418983039,93071,0.331229,0.040498,0.020704,0.039000,0.026528,0.031648,0.133243,0.175754,0.226687,0.331097,3898.867895,2229.888738,1728.542489,1635.204303,calls/second,milliseconds
1418983044,116028,0.331229,0.038722,0.020816,0.036398,0.026352,0.030192,0.125378,0.165836,0.226687,0.330005,4019.090462,2423.182266,1776.786960,1651.892325,calls/second,milliseconds
1418983049,137870,0.755258,0.038304,0.020816,0.045465,0.026208,0.029731,0.116853,0.154070,0.216000,0.754161,4070.727552,2594.064761,1822.796036,1668.005899,calls/second,milliseconds
1418983054,157582,1.397861,0.042638,0.020816,0.081431,0.026168,0.029676,0.121797,0.177124,0.366754,1.389889,4053.989114,2723.635604,1862.329079,1682.114418,calls/second,milliseconds
1418983059,177353,1.621427,0.046393,0.020816,0.101791,0.026143,0.029604,0.130429,0.281224,0.456451,1.614944,4042.976980,2821.610332,1896.818715,1694.673308,calls/second,milliseconds
1418983064,197119,1.397861,0.049956,0.021056,0.110729,0.026184,0.029652,0.134938,0.391536,0.651579,1.393741,4033.537267,2914.661816,1931.339928,1707.364282,calls/second,milliseconds
1418983069,216683,1.255782,0.049209,0.021056,0.104508,0.026096,0.029267,0.134938,0.410910,0.508615,1.253856,4022.602935,2998.146496,1964.850895,1719.837578,calls/second,milliseconds
1418983074,236159,1.255782,0.049757,0.021056,0.107671,0.025991,0.029115,0.134965,0.419650,0.534924,1.253856,4011.795770,3071.150223,1997.021216,1731.978059,calls/second,milliseconds
1418983079,254343,1.432021,0.053085,0.021056,0.122340,0.025960,0.028952,0.146274,0.451876,0.774018,1.426910,3982.451155,3134.127222,2027.793713,1743.760976,calls/second,milliseconds
1418983084,272195,1.432021,0.052019,0.021056,0.123227,0.025896,0.028676,0.134965,0.459829,0.802809,1.426910,3952.525002,3168.226103,2053.128772,1753.826540,calls/second,milliseconds
1418983089,291034,1.255782,0.049308,0.021056,0.108267,0.025952,0.028672,0.132422,0.440149,0.637576,1.253856,3939.321900,3202.492980,2078.643413,1764.036893,calls/second,milliseconds
1418983094,310179,1.255782,0.050698,0.021056,0.112960,0.025944,0.028592,0.133929,0.466846,0.756611,1.253856,3933.048724,3251.114532,2107.270138,1775.375164,calls/second,milliseconds
1418983099,329691,1.255782,0.054249,0.021056,0.124056,0.026024,0.028824,0.139531,0.507219,0.807162,1.253856,3931.212541,3297.559570,2135.777415,1786.769178,calls/second,milliseconds
1418983104,348973,1.237430,0.051153,0.021056,0.115722,0.025888,0.028572,0.131039,0.480721,0.800735,1.236036,3927.026649,3345.552145,2164.901087,1798.464610,calls/second,milliseconds
1418983109,367903,1.189367,0.049626,0.021056,0.111518,0.025888,0.028444,0.105896,0.478353,0.800735,1.181074,3919.514285,3385.277906,2192.627705,1809.788323,calls/second,milliseconds
1418983114,386920,1.189367,0.049310,0.021056,0.112906,0.025839,0.028208,0.093735,0.477796,0.807162,1.181074,3913.622271,3417.637698,2219.029947,1820.758996,calls/second,milliseconds
1418983119,405767,1.189367,0.049167,0.021056,0.111715,0.025824,0.028208,0.102397,0.482267,0.800735,1.181074,3906.694196,3447.602037,2245.035466,1831.682187,calls/second,milliseconds
1418983124,424698,1.189367,0.050060,0.021056,0.112502,0.025872,0.028167,0.111911,0.488889,0.773525,1.180788,3901.172686,3474.291049,2270.429338,1842.483920,calls/second,milliseconds
1418983129,443598,1.189367,0.049699,0.021056,0.111562,0.025871,0.028096,0.112454,0.488833,0.774007,1.181074,3895.832004,3499.038018,2295.443155,1853.239106,calls/second,milliseconds
1418983134,454004,1.664659,0.053751,0.021056,0.129161,0.025880,0.028244,0.130974,0.497823,0.830737,1.651220,3819.372130,3514.114602,2318.453484,1863.401745,calls/second,milliseconds
1418983139,470787,1.201255,0.052575,0.021056,0.119237,0.025872,0.028280,0.132422,0.482703,0.801132,1.200910,3800.742781,3339.082662,2302.033142,1860.418917,calls/second,milliseconds
1418983144,493109,1.201255,0.052746,0.021072,0.120976,0.025768,0.027992,0.132422,0.496926,0.794907,1.200910,3826.480284,3415.657513,2335.003738,1873.916839,calls/second,milliseconds
1418983149,514885,2.256638,0.058596,0.021072,0.154448,0.025608,0.027992,0.189547,0.537313,0.868993,2.237143,3846.250530,3505.970743,2371.535069,1888.716153,calls/second,milliseconds
1418983154,536288,2.256638,0.058381,0.020784,0.155157,0.025568,0.027992,0.170651,0.555724,0.868993,2.237143,3861.906853,3573.519561,2404.249441,1902.356472,calls/second,milliseconds
1418983159,557642,2.256638,0.060364,0.020784,0.159476,0.025608,0.028092,0.360863,0.555724,0.874435,2.237143,3876.133399,3627.799844,2434.796683,1915.376070,calls/second,milliseconds
1418983164,579059,2.256638,0.059007,0.020784,0.155578,0.025600,0.028068,0.300297,0.507098,0.863335,2.237143,3889.789373,3675.277483,2464.329944,1928.152901,calls/second,milliseconds
1418983169,599723,2.256638,0.057678,0.020784,0.153351,0.025568,0.027916,0.214414,0.499289,0.850851,2.237143,3897.723296,3724.491946,2494.518839,1941.242326,calls/second,milliseconds
1418983174,620634,2.256638,0.057468,0.020784,0.152228,0.025616,0.027904,0.282437,0.497823,0.850851,2.237143,3906.682125,3755.203531,2521.197254,1953.249816,calls/second,milliseconds
1418983179,640974,2.256638,0.056736,0.020784,0.145822,0.025832,0.028000,0.355952,0.497027,0.780936,2.230330,3911.609523,3789.248337,2548.631380,1965.591891,calls/second,milliseconds
1418983184,661738,1.349461,0.056744,0.020575,0.135022,0.025848,0.028088,0.378155,0.489659,0.780936,1.346148,3918.757042,3813.742863,2574.200522,1977.392460,calls/second,milliseconds
1418983189,681814,1.349461,0.058207,0.020575,0.137822,0.025816,0.028203,0.383031,0.483746,0.816414,1.345685,3921.528479,3833.112674,2598.692513,1988.908261,calls/second,milliseconds
1418983194,702032,1.349461,0.060026,0.020575,0.143743,0.025735,0.028184,0.387313,0.497027,0.850851,1.345685,3924.952790,3854.835593,2623.586281,2000.630623,calls/second,milliseconds
1418983199,722160,1.349461,0.060757,0.020575,0.145297,0.025776,0.028192,0.387313,0.497823,0.850851,1.345685,3927.671260,3866.474281,2646.343010,2011.709650,calls/second,milliseconds
1418983204,742039,1.349461,0.058435,0.020575,0.138524,0.025728,0.028160,0.386330,0.496657,0.804451,1.345685,3928.947981,3880.620480,2669.434331,2022.965523,calls/second,milliseconds
1418983209,762227,1.349461,0.057911,0.020575,0.134681,0.025728,0.028080,0.385960,0.497027,0.780936,1.345163,3931.753377,3888.166650,2691.013433,2033.780091,calls/second,milliseconds
