t,count
1418983019,6
1418983024,6
1418983029,6
1418983034,6
1418983039,6
1418983044,6
1418983049,6
1418983054,6
1418983059,6
1418983064,6
1418983069,6
1418983074,6
1418983079,6
1418983084,6
1418983089,6
1418983094,6
1418983099,6
1418983104,8
1418983109,8
1418983114,8
1418983119,8
1418983124,8
1418983129,8
1418983134,8
1418983139,8
1418983144,8
1418983149,8
1418983154,8
1418983159,8
1418983164,8
1418983169,8
1418983174,8
1418983179,8
1418983184,8
1418983189,8
1418983194,8
1418983199,8
1418983204,8
1418983209,8
1418983214,8
