t,count
1418983019,18
1418983024,18
1418983029,18
1418983034,18
1418983039,18
1418983044,18
1418983049,18
1418983054,18
1418983059,18
1418983064,18
1418983069,18
1418983074,18
1418983079,18
1418983084,18
1418983089,18
1418983094,18
1418983099,18
1418983104,24
1418983109,24
1418983114,24
1418983119,24
1418983124,24
1418983129,24
1418983134,24
1418983139,24
1418983144,24
1418983149,24
1418983154,24
1418983159,24
1418983164,24
1418983169,24
1418983174,24
1418983179,24
1418983184,24
1418983189,24
1418983194,24
1418983199,24
1418983204,24
1418983209,24
1418983214,24
