t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1418983019,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,1.587622,0.000000,0.000000,0.000000,calls/second,milliseconds
1418983024,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.684985,1.200000,1.200000,1.200000,calls/second,milliseconds
1418983029,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.436210,1.104053,1.180166,1.193352,calls/second,milliseconds
1418983034,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.319856,1.015778,1.160659,1.186740,calls/second,milliseconds
1418983039,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.252584,0.934561,1.141475,1.180166,calls/second,milliseconds
1418983044,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.208679,0.859838,1.122608,1.173627,calls/second,milliseconds
1418983049,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.177768,0.791089,1.104053,1.167125,calls/second,milliseconds
1418983054,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.154823,0.727837,1.085805,1.160659,calls/second,milliseconds
1418983059,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.137144,0.669642,1.067858,1.154229,calls/second,milliseconds
1418983064,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.123070,0.616101,1.050208,1.147834,calls/second,milliseconds
1418983069,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.111630,0.566840,1.032850,1.141475,calls/second,milliseconds
1418983074,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.102129,0.521518,1.015778,1.135151,calls/second,milliseconds
1418983079,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.094119,0.479820,0.998989,1.128862,calls/second,milliseconds
1418983084,6,1.315077,0.550463,0.138736,0.552743,0.239469,1.231130,1.315077,1.315077,1.315077,1.315077,0.087274,0.441455,0.982477,1.122608,calls/second,milliseconds
