t,count
1418983019,3
1418983024,3
1418983029,3
1418983034,3
1418983039,3
1418983044,3
1418983049,3
1418983054,3
1418983059,3
1418983064,3
1418983069,3
1418983074,3
1418983079,3
1418983084,3
1418983089,3
1418983094,3
1418983099,3
1418983104,4
1418983109,4
1418983114,4
1418983119,4
1418983124,4
1418983129,4
1418983134,4
1418983139,4
1418983144,4
1418983149,4
1418983154,4
1418983159,4
1418983164,4
1418983169,4
1418983174,4
1418983179,4
1418983184,4
1418983189,4
1418983194,4
1418983199,4
1418983204,4
1418983209,4
1418983214,4
