t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1418983019,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.794217,0.000000,0.000000,0.000000,calls/second,milliseconds
1418983024,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.342589,0.600000,0.600000,0.600000,calls/second,milliseconds
1418983029,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.218149,0.552027,0.590083,0.596676,calls/second,milliseconds
1418983034,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.159952,0.507889,0.580330,0.593370,calls/second,milliseconds
1418983039,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.126307,0.467280,0.570738,0.590083,calls/second,milliseconds
1418983044,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.104350,0.429919,0.561304,0.586814,calls/second,milliseconds
1418983049,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.088892,0.395544,0.552027,0.583563,calls/second,milliseconds
1418983054,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.077415,0.363918,0.542902,0.580330,calls/second,milliseconds
1418983059,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.068576,0.334821,0.533929,0.577115,calls/second,milliseconds
1418983064,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.061539,0.308050,0.525104,0.573917,calls/second,milliseconds
1418983069,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.055818,0.283420,0.516425,0.570738,calls/second,milliseconds
1418983074,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.051067,0.260759,0.507889,0.567576,calls/second,milliseconds
1418983079,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.047062,0.239910,0.499494,0.564431,calls/second,milliseconds
1418983084,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.043639,0.220728,0.491238,0.561304,calls/second,milliseconds
1418983089,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.040673,0.203079,0.483119,0.558194,calls/second,milliseconds
1418983094,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.038098,0.186842,0.475134,0.555102,calls/second,milliseconds
1418983099,3,0.413404,0.295964,0.212299,0.104720,0.262189,0.413404,0.413404,0.413404,0.413404,0.413404,0.035823,0.171903,0.467280,0.552027,calls/second,milliseconds
1418983104,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.045073,0.158158,0.459557,0.548968,calls/second,milliseconds
1418983109,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.042669,0.161504,0.455267,0.547035,calls/second,milliseconds
1418983114,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.040508,0.148591,0.447742,0.544004,calls/second,milliseconds
1418983119,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.038556,0.136710,0.440341,0.540990,calls/second,milliseconds
1418983124,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.036784,0.125779,0.433063,0.537993,calls/second,milliseconds
1418983129,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.035167,0.115723,0.425905,0.535013,calls/second,milliseconds
1418983134,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.033685,0.106470,0.418866,0.532049,calls/second,milliseconds
1418983139,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.032324,0.097957,0.411943,0.529101,calls/second,milliseconds
1418983144,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.031069,0.090125,0.405134,0.526170,calls/second,milliseconds
1418983149,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.029907,0.082919,0.398437,0.523255,calls/second,milliseconds
1418983154,4,0.413404,0.283625,0.212299,0.088994,0.254398,0.375600,0.413404,0.413404,0.413404,0.413404,0.028830,0.076289,0.391852,0.520356,calls/second,milliseconds
