t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1418989256,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989261,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989266,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989271,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989276,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989281,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989286,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989291,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989296,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989301,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989306,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989311,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989316,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989321,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989326,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989331,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989336,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989341,6,5,3.000000,1,2.190890,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989346,7,5,3.285714,1,2.138090,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989351,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989356,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989361,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989366,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989371,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989376,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989381,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989386,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989391,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989396,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989401,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989406,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989411,8,5,3.000000,1,2.138090,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
