t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1421318062,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,2.934578,0.000000,0.000000,0.000000,calls/second,milliseconds
1421318067,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.838310,1.200000,1.200000,1.200000,calls/second,milliseconds
1421318072,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.501648,1.104053,1.180166,1.193352,calls/second,milliseconds
1421318077,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.355778,1.015778,1.160659,1.186740,calls/second,milliseconds
1421318082,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.275057,0.934561,1.141475,1.180166,calls/second,milliseconds
1421318087,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.223815,0.859838,1.122608,1.173627,calls/second,milliseconds
1421318092,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.188555,0.791089,1.104053,1.167125,calls/second,milliseconds
1421318097,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.162715,0.727837,1.085805,1.160659,calls/second,milliseconds
1421318102,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.143510,0.669642,1.067858,1.154229,calls/second,milliseconds
1421318107,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.128157,0.616101,1.050208,1.147834,calls/second,milliseconds
1421318112,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.115741,0.566840,1.032850,1.141475,calls/second,milliseconds
1421318117,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.105597,0.521518,1.015778,1.135151,calls/second,milliseconds
1421318122,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.097074,0.479820,0.998989,1.128862,calls/second,milliseconds
1421318127,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.089749,0.441455,0.982477,1.122608,calls/second,milliseconds
1421318132,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.083544,0.406159,0.966238,1.116389,calls/second,milliseconds
1421318137,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.078115,0.373684,0.950267,1.110204,calls/second,milliseconds
1421318142,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.073340,0.343806,0.934561,1.104053,calls/second,milliseconds
1421318147,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.069074,0.316317,0.919114,1.097937,calls/second,milliseconds
1421318152,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.065350,0.291025,0.903922,1.091854,calls/second,milliseconds
1421318157,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.061973,0.267756,0.888982,1.085805,calls/second,milliseconds
1421318162,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.058913,0.246348,0.874288,1.079789,calls/second,milliseconds
1421318167,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.056169,0.226651,0.859838,1.073807,calls/second,milliseconds
1421318172,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.053658,0.208529,0.845626,1.067858,calls/second,milliseconds
1421318177,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.051361,0.191856,0.831649,1.061942,calls/second,milliseconds
1421318182,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.049221,0.176516,0.817903,1.056059,calls/second,milliseconds
1421318187,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.047312,0.162402,0.804384,1.050208,calls/second,milliseconds
1421318192,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.045497,0.149417,0.791089,1.044390,calls/second,milliseconds
1421318197,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.043855,0.137471,0.778013,1.038604,calls/second,milliseconds
1421318202,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.042308,0.126479,0.765154,1.032850,calls/second,milliseconds
1421318207,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.040864,0.116366,0.752507,1.027127,calls/second,milliseconds
1421318212,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.039521,0.107062,0.740069,1.021437,calls/second,milliseconds
1421318217,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.038258,0.098502,0.727837,1.015778,calls/second,milliseconds
1421318222,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.037079,0.090626,0.715807,1.010151,calls/second,milliseconds
1421318227,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.035968,0.083380,0.703975,1.004554,calls/second,milliseconds
1421318232,6,1.499882,0.654665,0.336836,0.467413,0.420564,1.059589,1.499882,1.499882,1.499882,1.499882,0.034918,0.076713,0.692340,0.998989,calls/second,milliseconds
