t,count
1418989256,3
1418989261,3
1418989266,3
1418989271,3
1418989276,3
1418989281,3
1418989286,3
1418989291,3
1418989296,3
1418989301,3
1418989306,3
1418989311,3
1418989316,3
1418989321,3
1418989326,3
1418989331,3
1418989336,3
1418989341,3
1418989346,4
1418989351,4
1418989356,4
1418989361,4
1418989366,4
1418989371,4
1418989376,4
1418989381,4
1418989386,4
1418989391,4
1418989396,4
1418989401,4
1418989406,4
1418989411,4
1418989416,4
1418989421,4
1418989426,4
1418989431,4
1418989436,4
1418989441,4
1418989446,4
1418989451,4
1418989456,4
1418989461,4
1418989466,4
1418989471,4
1418989476,5
1418989481,5
1418989486,5
1418989491,5
1418989496,5
1418989501,5
1418989506,5
1418989511,5
1418989516,5
1418989521,5
1418989526,5
1418989531,5
1418989536,5
1418989541,5
1418989546,5
1418989551,5
1418989556,5
1418989561,5
1418989566,5
1418989571,5
1418989576,5
1418989581,5
1418989586,5
1418989591,5
1418989596,6
1418989601,6
1418989606,6
1418989611,6
1418989616,6
1418989621,6
1418989626,6
1418989631,6
1418989636,6
1418989641,6
1418989646,6
1418989651,6
1418989656,6
1418989661,6
1418989666,6
1418989671,6
1418989676,6
1418989681,6
1418989686,6
1418989691,6
1418989696,6
1418989701,6
1418989706,6
1418989711,6
1418989716,6
1418989721,6
1418989726,6
1418989731,7
1418989736,7
1418989741,7
1418989746,7
1418989751,7
1418989756,7
1418989761,7
1418989766,7
1418989771,7
1418989776,7
1418989781,7
1418989786,7
1418989791,7
1418989796,7
1418989801,7
1418989806,7
1418989811,7
1418989816,7
1418989821,7
1418989826,7
1418989831,7
1418989836,7
1418989841,7
1418989846,7
1418989851,7
1418989856,7
1418989861,8
1418989866,8
1418989871,8
1418989876,8
1418989881,8
1418989886,8
1418989891,8
1418989896,8
1418989901,8
1418989906,8
1418989911,8
1418989916,8
1418989921,8
1418989926,8
1418989931,8
1418989936,8
1418989941,8
1418989946,8
1418989951,8
1418989956,8
1418989961,8
1418989966,8
1418989971,8
1418989976,8
1418989981,8
1418989986,8
1418989991,9
1418989996,9
1418990001,9
1418990006,9
1418990011,9
1418990016,9
1418990021,9
1418990026,9
1418990031,9
1418990036,9
1418990041,9
1418990046,9
1418990051,9
1418990056,9
1418990061,9
1418990066,9
1418990071,9
1418990076,9
1418990081,9
1418990086,9
1418990091,9
1418990096,9
1418990101,9
1418990106,9
1418990111,9
1418990116,9
1418990121,10
1418990126,10
1418990131,10
1418990136,10
1418990141,10
1418990146,10
1418990151,10
1418990156,10
1418990161,10
1418990166,10
1418990171,10
1418990176,10
1418990181,10
1418990186,10
1418990191,10
1418990196,10
1418990201,10
1418990206,10
1418990211,10
1418990216,10
1418990221,10
1418990226,11
1418990231,11
1418990236,11
1418990241,11
1418990246,11
1418990251,11
1418990256,11
1418990261,11
1418990266,11
1418990271,11
1418990276,11
1418990281,11
1418990286,11
1418990291,11
1418990296,11
1418990301,11
1418990306,11
1418990311,11
1418990316,11
1418990321,11
1418990326,11
1418990331,11
1418990336,11
1418990341,11
1418990346,11
1418990351,12
1418990356,12
1418990361,12
1418990366,12
1418990371,12
1418990376,12
1418990381,12
1418990386,12
1418990391,12
1418990396,12
1418990401,12
1418990406,12
1418990411,12
1418990416,12
1418990421,12
1418990426,12
1418990431,12
1418990436,12
1418990441,12
1418990446,12
1418990451,12
1418990456,12
1418990461,12
1418990466,12
1418990471,12
1418990476,12
1418990481,13
1418990486,13
1418990491,13
1418990496,13
1418990501,13
1418990506,13
1418990511,13
1418990516,13
1418990521,13
1418990526,13
1418990531,13
1418990536,13
1418990541,13
1418990546,13
1418990551,13
1418990556,13
1418990561,13
1418990566,13
1418990571,13
1418990576,13
