t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1421318062,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,1.488016,0.000000,0.000000,0.000000,calls/second,milliseconds
1421318067,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.420782,0.600000,0.600000,0.600000,calls/second,milliseconds
1421318072,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.251266,0.552027,0.590083,0.596676,calls/second,milliseconds
1421318077,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.178223,0.507889,0.580330,0.593370,calls/second,milliseconds
1421318082,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.137733,0.467280,0.570738,0.590083,calls/second,milliseconds
1421318087,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.110308,0.429919,0.561304,0.586814,calls/second,milliseconds
1421318092,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.094373,0.395544,0.552027,0.583563,calls/second,milliseconds
1421318097,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.081429,0.363918,0.542902,0.580330,calls/second,milliseconds
1421318102,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.071810,0.334821,0.533929,0.577115,calls/second,milliseconds
1421318107,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.064120,0.308050,0.525104,0.573917,calls/second,milliseconds
1421318112,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.057904,0.283420,0.516425,0.570738,calls/second,milliseconds
1421318117,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.052827,0.260759,0.507889,0.567576,calls/second,milliseconds
1421318122,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.048563,0.239910,0.499494,0.564431,calls/second,milliseconds
1421318127,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.044896,0.220728,0.491238,0.561304,calls/second,milliseconds
1421318132,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.041791,0.203079,0.483119,0.558194,calls/second,milliseconds
1421318137,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.039074,0.186842,0.475134,0.555102,calls/second,milliseconds
1421318142,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.036684,0.171903,0.467280,0.552027,calls/second,milliseconds
1421318147,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.034549,0.158158,0.459557,0.548968,calls/second,milliseconds
1421318152,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.032686,0.145513,0.451961,0.545927,calls/second,milliseconds
1421318157,3,0.531238,0.306360,0.193440,0.194751,0.194402,0.531238,0.531238,0.531238,0.531238,0.531238,0.030997,0.133878,0.444491,0.542902,calls/second,milliseconds
