t,count
1421312531,3
1421312535,3
1421312540,3
1421312545,3
1421312550,3
1421312555,3
1421312560,3
1421312565,3
1421312570,3
1421312575,3
1421312580,3
1421312585,3
1421312590,3
1421312595,3
1421312600,3
1421312605,3
1421312610,3
1421312615,3
1421312620,3
1421312625,3
1421312630,3
1421312635,3
1421312640,3
1421312645,3
1421312650,3
1421312655,3
1421312660,3
1421312665,3
1421312670,3
1421312675,3
1421312680,3
1421312685,3
1421312690,3
1421312695,3
1421312700,3
1421312705,3
1421312710,3
1421312715,3
1421312720,3
1421312725,3
1421312730,3
1421312735,3
1421312740,3
1421312745,3
1421312750,3
1421312755,3
1421312760,3
1421312765,3
1421312770,3
1421312775,3
1421312780,3
1421312785,3
1421312790,3
1421312795,3
1421312800,3
1421312805,3
1421312810,3
1421312815,3
1421312820,3
1421312825,3
1421312830,3
1421312835,3
1421312840,3
1421312845,3
1421312850,3
1421312855,3
1421312860,3
1421312865,3
1421312870,3
1421312875,3
1421312880,3
1421312885,3
1421312890,3
1421312895,3
1421312900,3
1421312905,3
1421312910,3
1421312915,3
1421312920,3
