t,count
1421318062,3
1421318067,3
1421318072,3
1421318077,3
1421318082,3
1421318087,3
1421318092,3
1421318097,3
1421318102,3
1421318107,3
1421318112,3
1421318117,3
1421318122,3
1421318127,3
1421318132,3
1421318137,3
1421318142,3
1421318147,3
1421318152,3
1421318157,3
1421318162,3
1421318167,3
1421318172,3
1421318177,3
1421318182,3
1421318187,3
1421318192,3
1421318197,3
1421318202,3
1421318207,3
1421318212,3
1421318217,3
1421318222,3
1421318227,3
1421318232,3
1421318237,3
1421318242,3
1421318247,3
1421318252,3
1421318257,3
1421318262,3
1421318267,3
1421318272,3
1421318277,3
1421318282,3
1421318287,3
1421318292,3
1421318297,3
1421318302,3
1421318307,3
1421318312,3
1421318317,3
1421318322,3
1421318327,3
1421318332,3
1421318337,3
1421318342,3
1421318347,3
1421318352,3
1421318357,3
1421318362,3
1421318367,3
1421318372,3
1421318377,3
1421318382,3
1421318387,3
1421318392,3
1421318397,3
1421318402,3
1421318407,3
1421318412,3
1421318417,3
1421318422,3
1421318427,3
1421318432,3
1421318437,3
1421318442,3
1421318447,3
1421318452,3
1421318457,3
1421318462,3
1421318467,3
1421318472,3
1421318477,3
1421318482,3
1421318487,3
1421318492,3
1421318497,3
1421318502,3
1421318507,3
1421318512,3
1421318517,3
1421318522,3
1421318527,3
1421318532,3
1421318537,3
1421318542,3
1421318547,3
1421318552,3
1421318557,3
1421318562,3
1421318567,3
1421318572,3
1421318577,3
1421318582,3
1421318587,3
1421318592,3
1421318597,3
1421318602,3
1421318607,3
1421318612,3
1421318617,3
1421318622,3
1421318627,3
1421318632,3
1421318637,3
1421318642,3
1421318647,3
1421318652,3
1421318657,3
1421318662,3
1421318667,3
1421318672,3
1421318677,3
1421318682,3
1421318687,3
1421318692,3
1421318697,3
1421318702,3
1421318707,3
1421318712,3
1421318717,3
1421318722,3
1421318727,3
1421318732,3
1421318737,3
1421318742,3
1421318747,3
1421318752,3
1421318757,3
1421318762,3
1421318767,3
1421318772,3
1421318777,3
1421318782,3
1421318787,3
1421318792,3
1421318797,3
1421318802,3
1421318807,3
1421318812,3
1421318817,3
1421318822,3
1421318827,3
1421318832,3
1421318837,3
1421318842,3
1421318847,3
1421318852,3
1421318857,3
1421318862,3
1421318867,3
1421318872,3
1421318877,3
1421318882,3
1421318887,3
1421318892,3
1421318897,3
1421318902,3
1421318907,3
1421318912,3
1421318917,3
1421318922,3
1421318927,3
1421318932,3
1421318937,3
1421318942,3
1421318947,3
1421318952,3
1421318957,3
1421318962,3
1421318967,3
1421318972,3
1421318977,3
1421318982,3
1421318987,3
1421318992,3
1421318997,3
1421319002,3
1421319007,3
1421319012,3
1421319017,3
1421319022,3
1421319027,3
1421319032,3
1421319037,3
1421319042,3
1421319047,3
1421319052,3
1421319057,3
1421319062,3
1421319067,3
1421319072,3
1421319077,3
1421319082,3
1421319087,3
1421319092,3
1421319097,3
1421319102,3
1421319107,3
1421319112,3
1421319117,3
1421319122,3
1421319127,3
1421319132,3
1421319137,3
1421319142,3
1421319147,3
1421319152,3
1421319157,3
1421319162,3
1421319167,3
1421319172,3
1421319177,3
1421319182,3
1421319187,3
1421319192,3
1421319197,3
1421319202,3
1421319207,3
1421319212,3
1421319217,3
1421319222,3
1421319227,3
1421319232,3
1421319237,3
1421319242,3
1421319247,3
1421319252,3
1421319257,3
1421319262,3
1421319267,3
1421319272,3
1421319277,3
